娱乐 	 独家 探班 李康生 蔡 明亮 短片 《 自转 》 ( 组图 ) 新浪 娱乐 讯 蔡 明亮 ( 阿亮 ) 导演 、 李康生 ( 小康 ) 演出 的 银幕 组合 让 两人 在 国际 影坛 挣出 一席 地位 ， 如今 两人 “ 角色 互换 ” ！ 李康生 执导 台湾 公视 《 台北 异 想 》 影片 中 的 短片 ─ ─ 《 自转 》 ， 请出 已 20 年 没 站 在 镜头 前 的 蔡 明亮 当 演员 ， 阿亮 为了 爱徒 再次 “ 下海 ” 演戏 ， 没想到 自称 对 演员 施以 爱 的 教育 的 小康 ， 拍 第一场 戏 就让 阿亮 吃 了 18 次 NG ， 现场 更放 催泪 音乐 ， 让 感情丰富 的 阿亮 流下 真情 的 眼泪 。 台湾 公视 的 《 台北 异 想 》 影片 ， 概念 将 一天 从 清晨 六点 起 分为 八个 时段 ， 邀来 李康生 、 郑芬芬 、 钮承泽 、 林靖杰 等 八位 导演 ， 拍摄 八部 十分钟 短片 ， 接力 诠释 24 小时 的 台北 故事 。 小康 选 了 凌晨 四时 至六时 的 时段 发挥 ， 他 说 ： “ 2006 年 ， 舞蹈家 伍 国柱 、 罗曼菲 相继 过世 让 我 感触 很深 ， 蔡 明亮 拍摄 电影 《 洞 》 时 ， 罗曼菲 担任 舞蹈 编排 ， 她 直率 、 认真 的 性格 留给 大家 很深 的 印象 。 因此 特别 选择 她 凌晨 四点 多 辞世 的 时段 ， 拍摄 《 自转 》 ， 也 希望 将 这部 短片 献给 她 。 ” 蔡 明亮 自从 20 年前 曾 在 电视 单元 剧中 饰演 乐团 主唱 后 ， 即 不再 以 演员 身分 现身 萤光幕 前 ， 为了 挺 爱徒 再 站 镜头 前 ， 阿亮 坦言 ， 剧中 虽 只 需 扮演 自己 ， 但 被 拍 仍令 他 紧张 ， 要不是 近几年 常 受访 ， 被 媒体 训练 出 减少 对 镜头 的 恐惧 ， 不然 他 不会 让 自己 名列 演员 名单 中 。 被 阿亮 指导 演戏 惯 了 的 小康 ， 如何 回过头来 对 恩师 教戏 ？ 他 虽说 ： “ 我 让 演员 自由发挥 ， 采取 『 爱 的 教育 』 ！ ” 但 光是 陆奕静 炒 咖啡豆 ， 阿亮 静坐 咖啡厅 一隅 ， 这 全剧 第一个 镜头 就 磨 了 十八次 ， 现场 播放 雷光 夏 广播 录音 和 林怀民 舞作 《 挽歌 》 音乐 ， 更 催出 阿亮 的 男儿泪 ， 阿亮 说 ： “ 我 就是 想到 了 罗曼菲 ， 更 感受 到 美好 的 事物 都 会 消失 ， 真想 再 看 一次 罗曼菲 跳舞 。 ” 《 自转 》 的 最后 一场 戏 ， 陆奕静 衬 着 音乐 转圈 跳舞 ， 阿亮 也 即兴 起舞 ， 但 连 两天 熬夜 赶戏 体力 透支 ， 加上 不停 转圈 ， 她 拍 到 呕吐 、 阿亮 则 晕眩 不止 ， 小康 却 满意 称赞 ： “ 这 两人 跳 得 不错 嘛 ！ ” 小康 当 导演 ， 从 第一场 戏 折腾 演员 到 末场 戏 ， 堪称 “ 有始有终 ” ， 蔡 明亮 笑 说 ： “ 未来 我 还是 选择 继续 当 导演 吧 。 ” 台湾 特派记者 郑伟柏 ／ 台北 报导   声明 ： 新浪网 独家 稿件 ， 转载 请 注明 出处 。 
 娱乐 	 组图 ： 《 保持 通话 》 剧照 曝光   大S 遭 刘烨 挟持 新浪 娱乐 讯   徐熙媛 ( 大S ) 及 刘烨 在 电影 《 保持 通话 》 ， 有 多幕 讲述 大S 被 刘烨困 在 荒野 货柜 内 叫 天不应 、 叫 地 不闻 的 场景 。 她 更 因 演绎 此角 激瘦 十磅 ， 经理人 曾 担心 她 体力不支 。   刘烨 紧抱   大S 在 戏 中 大部分 时间 都 置身于 货柜 仓内 拍摄 ， 其中 一幕 讲述 饰演 歹角 的 刘烨 ， 在 禁 室内 从后 紧抱 大S ， 吓 得 她 花容 失色 ， 另 一幕 大S 又 要 与 刘烨 助手 拼个 你死我活 ， 此歹 角 更 紧缠 大S 脖子 不 放 ， 为求 逼真 ， 彩排 时歹 角 也 毫不留情 地 揪 着 大S 的 脖子 ， 但 她 毫无 怨言 ， 整个 拍摄 更 自愿 留在 禁 室内 ， 甚至 休息 及 吃饭 也 留在 室内 ， 务求 感受 到 被困 后 的 情绪 。 为此 每天 的 拍摄 都 令 其 精神状态 拉至 最紧 ， 令 她 完全 感受 到 被 绑架 后 的 恐怖 情况 。   消瘦 十磅   大S 坦言 拍摄 过程 令 她 每天 也 感到 头痛 及 精神紧张 ： “ 每次 都 要 拚命 嚎哭 、 进入 声嘶力竭 状态 ， 所以 每次 停机 也 有 虚脱 之感 ， 回家 后 更累 至 软弱无力 ， 因此 拍 了 十天 便 已 消瘦 十磅 ， 希望 以后 少 演出 此类 电影 ， 以免 精神 受到 重大 影响 。 ”   tungstar 文并 图   
 娱乐 	 组图 ： 古天乐 大S 出席 《 保持 通话 》 预告片 首播 会 新浪 娱乐 讯   08 月 24 日 ， 香港 ， 徐熙媛 ( 大S ) 、 古天乐 (   听歌   blog ) 、 张家辉 ( 听歌   blog ) 等 主演 的 电影 《 保持 通话 》 ， 今日 在 某 商场 举行 预告片 发布会 ， 大S 专来 港 联同 古仔 、 陈家 乐和家辉 一同 出席 宣传 活动 ， 日前 因 台风 关系 ， 今日 仍 有 不少 航班 受 影响 ， 大S 的 航班 也 迟 了 两个 半小时 ， 令 她 担心 不已 ， 结果 她 要 在 车上 化妆 ， 等 行李 时 弄 头发 ， 在 休息室 候机 时 ， 有人 找 她 拍照 ， 由于 她 的 假睫毛 尚有 一半 未 整好 ， 令 她 十分 狼狈 ， 幸好 最后 她 都 赶上 出席 活动 。 三位 男演 特别 送上 不同 的 礼物 ， 答谢 大S 远渡 而 来 ， 古仔送 新书 、 家辉 送 婴儿用品 ， 陈家 乐送 月饼 ， 而家辉 送 婴儿用品 ， 更 笑 指 大S 又 做 了 姨妈 ， 所以 送 婴儿用品 给 她 ， 下次 小S ( ) 来来 港 ， 让 她 回礼 ： “ 下次 你 妹妹 来 香港 时 ， 叫 她 记得 啊 ， 带点 东西 给 我 。 ” 谈及 小S 生 了 第二胎 ， 大S 笑 指 自己 成 了 超级 保姆 ， 姐姐 和 妹妹 都 生 了 BB ， 她 已经 入 了 三次 产房 目击 生产 过程 ， 不 禁令 她 觉得 生仔 过程 很 恐怖 ， 扬言 不会 生小孩 。   古仔 八年 没有 驾车 了 ， 笑 言 为了 拍摄 此戏 而 再 开快车 ， 他 不 讳言 以前 会 开快车 ， 幸好 一直 都 无 意外 ， 有天 他 一 觉醒 来 ， 就 不想 再 开车 ， 现在 的 车 也 给 了 家人 用 。 古仔 指戏 中 有 不少 高难度 的 驾车 镜头 ， 也 是 他 亲身 上阵 ， 只有 一幕 飞车 场面 是 用 替身 ， 拍摄 时 他 还 不 知道 危险 ， 有 武指 因为 要 拍摄 一场 追 车尾 的 戏 而 伤 至 见 骨 ， 这令 他 对 驾驶 更加 没有 兴趣 。   另有 报导 指家辉 左拥右抱 ， 家辉 澄清 没有 此事 ， 报导 中 的 “ 北妹 ” 其实 是 戏 中 的 小妹妹 ， 她们 只有 四岁 ， 问 到 太太 可 有 怀疑 他 ？ 他 笑 说 ： 太太 对 他 的 很 信任 ， 不会 信 那些 报道 的 ！   TUNGSTAR 文并 图   
 娱乐 	 组图 ： 大S 与 古天乐 首 合作   目睹 生产 决不 生小孩 新浪 娱乐 讯   2008 年 8 月 25 日 ， 香港 ， 古天乐 (   听歌   blog ) 和 徐熙媛 ( 大S ) 昨日 ( 8 月 24 日 ) 为 陈木胜 新片 《 保持 通话 》 ， 出席 电影 预告片 首播 会 活动 。 古天乐 坦言 自 拍摄 开始 ， 跟 徐熙媛 只有 一场 对手戏 ， 昨日 更是 第二次 见面 ， 所以 跟 对方 不 熟 。 徐熙媛 也 指 与 古天乐 这次 合作 ， 感觉 陌生 和 古怪 ， 希望 借 宣传 的 相处 日子 多点 沟通 。 古天乐 、 徐熙媛 、 张家辉 ( 听歌   blog ) 和 陈家 乐 昨日 出席 主演 新片 《 保持 通话 》 预告片 首播 会 活动 ， 吸引 逾百 Fans 和 途人 围观 ， 场面 热闹 。 古天乐 、 张家辉 和 陈家 乐向 大S 送上 新书 、 月饼 和 转 送给 小S ( ) ( 徐熙娣 ) 的 婴儿用品 。 在 片中 古天乐 有 不少 驾车 场面 ， 他 表示 已有 8 年 没 驾车 ， 拍摄 最难 之处 是 要 同时 兼顾 驾车 和 通电话 ， 而 部分 飞车 场面 也 由 替身 上阵 ， 电影 公司 也 有 买重 保险 。 提到 徐子珊 ( blog ) 日前 撞车 受伤 ， 古天乐 指向 来 知悉 太累 时 驾车 会 很 危险 ， 他 说 ： “ 10 年前 在 无线 试过 为 收工 快些 回家 ， 由 西贡 邵氏 飞车 7 分钟 便 返到 何文田 。 ” 提到 《 保 》 片中 的 对手 大S ， 古天乐 坦言 跟 对方 不 熟 ， 因 全片 两人仅 得 一场 同场 戏分 ， 每次 在 拍摄 前 都 要 回想 对方 的 片段 场景 ， 才能 续 拍 只得 自己 一人 的 戏分 。 冒 风雨 来港 劲 狼狈 而 刚 由 台湾 飞抵 本港 的 大S ， 表示 因 日前 香港 挂 台风 ( 听歌 ) 关系 ， 令 航班 延误 两个 半小时 才 到 港 ， 令 她 不但 要 在 台湾 往 机场 的 车程 上 化妆 ， 抵港 后 还要 急忙 在 机场 整理 发型 和 衣装 ， 大感 非常 尴尬 和 狼狈 。 说 到 跟 古天乐 在 新片 仅得 一场 同场 戏分 ， 大S 指 这次 跟 合作 对手 的 感觉 很 陌生 和 古怪 ， 并望 于 4 日 的 宣传 期里 多 见面 和 沟通 。 提及 收到 3 位 男演员 送赠 的 礼物 ， 大S 表示 有 机会 必定 回礼 。 而 礼物 中 的 婴儿用品 还令 大S 回 想起 陪 胞姐 和 小S 生子 的 恐怖 经历 ， 让 她 打消 生育 念头 。 大S 还 透露 在 另 一 电影 《 爱 的 发声 练习 》 中 ， 跟 张孝全 有场 大胆 的 厕所 调情 戏分 ， 虽然 拍摄 时 弄 得 身体 瘀 青 ， 但 为 该段 戏分 最终 全 被 删剪 而感 可惜 。 另外 ， 谈到 大S 拍 《 保 》 片时 感 压力 大 ， 张家辉 说 这令 他 想到 去年 自己 在 内地 拍片 患 抑郁症 一事 。 家辉 更 澄清 早前 被 暗指 在 片场 搂 女 报道 中 的 女主角 是 对 约 5 岁 的 双胞胎 小朋友 ， 家辉 称 太太 知道 他 不敢 ， 所以 对 他 十分 信任 。 singtao   cfp / 图 
 娱乐 	 古天乐 投诉 大S 不 给 机会   希望 下次 再 合作 ( 组图 ) 新浪 娱乐 讯   8 月 26 日 ， 电影 《 保持 通话 》 举行 宣传 活动 ， 众 演员 包括 古天乐 (   听歌   blog ) 、 徐熙媛 ( 大S ) 、 张嘉辉 及 导演 陈木胜 等等 均 有 出席 。 古天乐 笑 言 这次 拍摄 多 是 单独 演出 ， 并 要 一直 拿 着 手机 演戏 ， 感觉 新鲜 又 甚具 压力 ， 他 更 表示 与 大S 只有 一场 对手戏 ， 希望 下次 能够 再有 机会 合作 。 TUNGSTAR / 文并 图   
 娱乐 	 《 郎朗 的 歌 》 明 起 上映   五大 精彩 看点 揭秘 ( 组图 ) 新浪 娱乐 讯   由 凤凰卫视 出品 、 郎朗 ( 听歌   blog ) 电影 处女作 《 郎朗 的 歌 — — 献给 2008 》 将 于本周 五 ( 29 日 ) 全线 上映 。 观众 不仅 可以 在 电影院 用 5.1 环绕 立体声 里 感受 郎朗 琴声 的 魅力 ， 更是 会 看到 这位 天才 背后 鲜为人知 的 成长 故事 。 对于 许多 琴童 家长 来说 ， 这 也 是 一部 值得 借鉴 的 培育 “ 教材 ” 。 看点 一 ： 音乐视听 盛宴 还 在 为 北京 开幕式 上 郎朗 的 琴声 震撼 的 观众 这回 可以 走进 电影院 ， 通过 大 银幕 和 5.1 环绕 立体声 感受 郎朗 为 你 弹琴 的 情景 ， 无论是 你 是否 懂 音乐 ， 都 会 被 他 的 琴声 震撼 到 ， 被 他 超炫 的 琴技 感染 到 。 在 聆听 琴声 的 同时 ， 观众 还 将 跟随 电影 经历 一场 “ 梦境 一般 的 旅程 ” ， 从 故宫 、 天坛 到 金山岭 长城 ， 从 太行 之巅 到 黄河 之畔 ， 郎朗 的 琴声 将 带领 大家 感受 中国 的 壮丽 山河 和 历史 文明 的 魅力 。 看点 二 ： 再现 钢琴 天才 成才之路 钢琴 天才 是 怎样 练成 的 ？ 从 娘胎 就 开始 听 音乐 的 郎朗 ， 一岁 多 还 不会 说话 就 会 哼歌 ， 三岁 多 开始 学琴 ， 5 岁 获 沈阳市 少儿 钢琴 比赛 第一名 … … 郎朗 父母 的 联袂 出演 将 为 观众 展示 郎朗 的 天赋 是 如何 被 发现 的 ， 以及 家人 悉心 的 培养 ， 还 囊括 了 郎朗 弹琴 过程 中 的 种种 趣事 ， 对于 众多 想 让 孩子 学 “ 一技之长 ” 的 家长 来说 无疑 是 一个 很 好 的 参考 案例 。 看点 三 ： 求学 曲折 几近 崩溃 心酸 往事 当然 在 郎朗 的 成长 过程 中 也 并 不是 一帆风顺 的 ， 从 沈阳 的 “ 音乐 神童 ” 到 北京 筒子楼 里 遭人 嫌弃 的 “ 农民 小子 ” ， 影片 不无 遗漏 地 再现 了 其 心酸 的 求学 往事 。 更 值得一提的是 ， 影片 还 首次 披露 了 父子 为学琴 争执 ， 逼迫 郎朗 自杀 等 鲜为人知 的 故事 。 郎朗 曾 表示 他 最 不敢 讲述 的 就是 这 段 自杀 ， 因为 说 到 自杀 就 会 引来 许多 非议 。 但 在 其 处女作 中 ， 郎朗 认为 应该 毫无保留 地 表现 出来 。 看点 四 ：   教育 模式 值得 研讨 郎朗 是 典型 的 中国式 教育 下 培养 出来 的 孩子 ， 也 是 80 年代 兴起 的 “ 钢琴 热 ” 那 一代 唯一 一个 成名 的 孩子 ， 他 的 成才之路 一直 是 中国 望子成龙 的 父母 们 关注 的 话题 ， 对于 中国 数千万 的 琴童 家长 来说 ， 观看 这部 电影 ， 了解 郎朗 曲折 的 成才 道路 ， 带来 的 将 是 更 深层次 关于 “ 如何 教育 孩子 ” 的 思考 。   看点 五 ： 历时 两年   凤凰卫视 全力 打造 本片 是 凤凰卫视 历时 两年 ， 集合 精英 人才 全力 打造 的 首部 电影 ， 为了 还原 展现 了 郎朗 在 全球 10 多个 城市 演出 台前幕后 的 点滴 ， 更是 动用 了 美洲 、 欧洲 、 俄罗斯 等 各地 驻站 力量 ， 可以 说 是 唯一 一部 全面 立体 展现 了 郎朗 的 影视作品 。 而 郎朗 本人 也 对 影片 赞誉 有佳 ， 期望 把 影片 推荐 给 好莱坞 ， 让 全世界 的 人 了解 中国 音乐 。 福泽 - June / 文   
 娱乐 	 李小鹏龙 清泉 将 为 李湘 献出 银幕 处子秀 ( 组图 ) 本报讯   ( 记者 程雪超 / 文   邱磊 / 摄 ) 《 十全 九美 》 票房 大热 ， 让 首度 以 “ 出品人 ” 身份 出现 的 著名 主持人 李湘 充分 尝到了 电影 的 甜头 。 近日 李湘 身边 的 好友 向 记者 爆料 ， 李湘正 准备 趁热打铁 拍摄 一部 励志 电影 《 努力 》 ， 不但 前 奥运冠军 、 李湘 的 闺中 密友 刘璇 确定 出演 ， 两位 风头 正劲 的 湖南籍 “ 奥运冠军 ” 李小鹏 和 龙 清泉 也 将 奉献 电影 处子秀 。   据 李湘该 好友 透露 ， 由于 《 十全 九美 》 的 票房 全线 飘红 ， 反响 远远 超出 预期 ， 快乐 星 公司 高层 经 研究 决定 ， 在 今年 原 计划 投拍 3 部 电影 的 基础 上 再 多 拍 1 部 ， 而 这 一部 电影 便 改编自 80 后 作家 张 一一 的 同名 畅销小说 《 努力 》 ， 由于 《 努力 》 的 剧本 改编 进度 较 其他 几部 快 ， 很 有 可能 后来居上 ， 9 月 下旬 便 可 先行 开机 拍摄 ， 基本 确定 由 王岳伦 执导 。 作为 一部 青春 励志 电影 ， 李湘该 好友 表示 ， 《 努力 》 积极向上 的 格调 与 奥林匹克 精神 非常 吻合 ， 这是 李湘 执意 要 找 非 科班出身 的 奥运冠军 们 来 出演 《 努力 》 的 主要 原因 。 李湘该 好友 透露 ， 不但 前 奥运冠军 刘璇 、 熊倪 、 龚智超 和 现在 炙手可热 的 李小鹏 、 龙 清泉 都 将 在 《 努力 》 中有 不少 戏份 ， 前 奥运冠军 孔令辉 的 女友 马苏 、 新晋 奥运冠军 马琳 的 女友 张一 这 两位 专业 演员 出身 的 “ 奥运冠军 家属 ” ， 也 都 将 在 《 努力 》 中 饰演 重要 角色 。   本报讯   ( 记者 程雪超 / 文   邱磊 / 摄 ) 《 十全 九美 》 票房 大热 ， 让 首度 以 “ 出品人 ” 身份 出现 的 著名 主持人 李湘 充分 尝到了 电影 的 甜头 。 近日 李湘 身边 的 好友 向 记者 爆料 ， 李湘正 准备 趁热打铁 拍摄 一部 励志 电影 《 努力 》 ， 不但 前 奥运冠军 、 李湘 的 闺中 密友 刘璇 确定 出演 ， 两位 风头 正劲 的 湖南籍 “ 奥运冠军 ” 李小鹏 和 龙 清泉 也 将 奉献 电影 处子秀 。   据 李湘该 好友 透露 ， 由于 《 十全 九美 》 的 票房 全线 飘红 ， 反响 远远 超出 预期 ， 快乐 星 公司 高层 经 研究 决定 ， 在 今年 原 计划 投拍 3 部 电影 的 基础 上 再 多 拍 1 部 ， 而 这 一部 电影 便 改编自 80 后 作家 张 一一 的 同名 畅销小说 《 努力 》 ， 由于 《 努力 》 的 剧本 改编 进度 较 其他 几部 快 ， 很 有 可能 后来居上 ， 9 月 下旬 便 可 先行 开机 拍摄 ， 基本 确定 由 王岳伦 执导 。 作为 一部 青春 励志 电影 ， 李湘该 好友 表示 ， 《 努力 》 积极向上 的 格调 与 奥林匹克 精神 非常 吻合 ， 这是 李湘 执意 要 找 非 科班出身 的 奥运冠军 们 来 出演 《 努力 》 的 主要 原因 。 李湘该 好友 透露 ， 不但 前 奥运冠军 刘璇 、 熊倪 、 龚智超 和 现在 炙手可热 的 李小鹏 、 龙 清泉 都 将 在 《 努力 》 中有 不少 戏份 ， 前 奥运冠军 孔令辉 的 女友 马苏 、 新晋 奥运冠军 马琳 的 女友 张一 这 两位 专业 演员 出身 的 “ 奥运冠军 家属 ” ， 也 都 将 在 《 努力 》 中 饰演 重要 角色 。   
 娱乐 	 组图 ： 莫小奇 廖凡 《 一半 海水 一半 火焰 》 激情 照 新浪 娱乐 讯   莫小奇 ( blog ) 主演 的 电影 《 一半 海水 . 一半 火焰 》 ， 当中 有连场 讲述 男 、 女主角 充满 情欲 的 激烈 爱情 关系 ， 当中 包括 小奇 赤条条 与 男主角 在 厨房 、 海滩 等 地方 做爱 的 戏份 。 要 裸露 于 人前 ， 小奇 早 在 接 剧本 前 已 做好 心理准备 ， 唯一 难 面对 ， 反而 是 向 一对 父母 交代 。 她 说 ： “ 始终 是 中国 人 ， 心里 有 传统 的 想法 ， 所以 一直 都 只 敢 跟 父母 说 有 少少 性感 。 ”   至于 《 海水 》 将 在 九月 十一日 上映 ， 并 已 到 作为 三级 ， 问到 小奇 怕不怕 到 时 再 难以 隐瞒 ， 她 便 坦言 因 电影 是 不会 在 内地 上映 ， 所以 相信 父母 可能 要 等 DVD 推出 后 ， 才 有 机会 了解 真相 ， 不过 小奇 相信 父母 看后 会 同样 百分百 支持 她 。 她 说 ： “ 从 澳洲 大学毕业 返 北京 ， 我要 做 幕前 ， 父母 都 一直 支持 ， 加上 《 海水 》 是 改编自 内地 名作家 王朔 ， 描写 一个 专以 妓女 敲诈 为生 的 流氓 ， 与 一个 对 爱情 倔强 女生 的 爱情故事 ， 所以 我 的 裸露 是 顺应 剧情 ， 感觉 自然 ， 他们 会 明白 的 。 ” 至于 忆述 当中 一场 讲述 她 在 厨房 煎蛋 ， 男主角 廖凡 突然 从后 揽 着 ， 情挑 她 时 ， 二人 在 狭窄 厨房 内 由 拥抱 缠绵 、 激烈 拥吻 ， 到 最后 做起 爱来 ， 难到 她 的 地方 不是 这些 情欲 镜头 ， 而是 要应 导演 要求 ， 一面 吻 着 廖凡 ， 一面 出 尽力 咬 他 的 舌头 ， 以 表达 她 对 男主角 由 爱生恨 的 转变 。   小奇 犹有豫悸 说 ： “ 每次 导演 喊 cut ， 我 和 廖凡口 里面 都 是 血 ， 观众 只要 留意 大 银幕 ， 亦 不难 看到 廖凡 的 舌头 被 我拉出 。 ” 更 最令 小奇 不好意思 ， 是 原来 廖凡 至今 舌头 上 仍 留有 疤痕 。 TUNGSTAR / 文并 图   
 娱乐 	 《 保持 通话 》 拍 撞车   古天乐 险 丧命 汽水 阵 ( 组图 ) 新浪 娱乐 讯   近日 ， 翻拍 自 好莱坞 电影 《 致命 来电 》 的 英皇 电影 《 保持 通话 》 正在 热拍 当中 ， 古天乐 (   听歌   blog ) ( 古仔 ) 演技 受到 前所未有 挑战 。 继 早前 的 逆向 飞车 后 ， 古天乐 在 最近 的 拍摄 中 又 要 连人 带车 穿过 近万罐 汽水 再 翻车 被 压 ， 拍摄 过程 的确 艰巨 。 连场 飞车 场面 中 ， 古仔 ( 听歌 ) 的 车 最终 会 一跃 两米 高 ， 并 撞 向 载有 近万罐 汽水 的 货运车 后 才 停下 。 已有 八年 没 驾车 的 古仔 再握 方向盘 便 要 经历 连环撞 车 场面 并 被 车压 至 半死 ， 爬 出车 外后 还 被 近 万罐 汽水 阻挡 去路 ， 目眩 至 不能 站稳 。 陈木胜 对 拍摄 工作 一向 严谨 ， 古仔 最终 需要 在 车底 下 趴近 三 小时 才能 完成 该场 戏 ， 初时 古仔 被 压 在 车内 非常 不 习惯 ， 但 一 小时 后 便 渐渐 适应 ， 更 在 车内 与 导演 言谈 甚欢 ， 研究 拍摄 细则 ， 导演 更 笑言派 个 饭盒 给 他 在 车下 吃 也 毫无 问题 ： “ 古仔 经常 玩 专业 跑道 赛车 ( ) ， 我 对 他 绝对 有 信心 ， 倒 是 他 经常 把 我 吓坏 ， 因为 他 的 车速 太快 ， 我 担心 他 有 意外 后 便 要 停工 呢 ！ 所以 此场 只 需 他 趴在 车底 下 ， 已经 非常 安全 ， 我 绝不 担心 。 ” 汽水 罐 被 撞 后 散 向 天空 的 一幕 异常 震撼 ， 工作人员 之前 花 了 整整 三天 的 时间 把 汽水 罐 钻洞 、 放 汽水 ， 尽量 减轻 重量 ， 令 轿车 穿过 万个 汽水 罐 的 场面 更为 震撼 。 古仔 也 坦言 感觉 震撼 ： “ 从来 没想 过 汽水 罐竟 可 营造 如此 铺天盖地 的 场景 ， 戏中 我 的 目眩 其实 是 真的 ， 因为 满地 汽水 罐令 我 有 眩晕 的 感觉 ， 最惨 是 要 长期 躲 在 车底 拍摄 ， 令 我 事后 腰酸背痛 。 ”   除此之外 ， 戏中 的 货运车 是 由 剧组 将 货柜车 改装 而成 的 ， 工作人员 更要 把 整辆 货柜车 喷油 变成 汽水 运输车 ， 花费 接近 二十万 ， 超过 十天 才 完工 。 完成 拍摄 后 ， 导演 把 所有 空罐 送给 回收 汽水 罐 的 婆婆 们 ， 绝无 浪费资源 。   TUNGSTAR / 文并 图   
 娱乐 	 金马奖 报名 截止   林志玲 竞逐 最佳 女配角 ( 组图 ) 新浪 娱乐 讯   第 45 届 金马奖 报名 昨日 （ 9 月 8 日 ） 截止 ， 包括 《 赤壁 》 上集 、 《 投 名状 》 ( blog ) 、 《 长江 7 号 》 、 《 大 灌篮 》 、 《 海角 七号 》 、 《 ? 男孩 》 等 80 多部 电影 角逐 ， 因 今年 电影 不少 以 男性 题材 为主 ， 梁朝伟 (   听歌 ) 、 金城武 (   听歌 ) 、 刘德华 (   听歌 ) 、 李连杰 (   blog ) 角逐 影帝 格外 激烈 ， 而 第一名 模 林志玲 (   blog ) 则 以 《 赤壁 》 “ 小乔 ” 角逐 最佳 新人 与 最佳 女配角 ， 其中 最佳 新人 奖项 遭 老少 新 演员 夹击 ， 她 表示 ： “ 没想 过 得 不 得奖 ， 但 不论 入围 与否 都 会 出席 。 ” 今年 影后 方面 的 话题 热度 比不上 有 林志玲 报名 的 女配角 ， 《 投 名状 》 的 徐静蕾 (   听歌   blog ) 演技 佳 但 戏份 太 少 ， 《 长江 7 号 》 11 岁 的 徐娇戏 多 演技 生动 ， 有 机会 成为 黑马 ， 《 海角 七号 》 女主角 日籍 女星 田中 千绘 仍 有 进步 空间 ， 谁 能 入围 难以预测 。 而 林志玲 因 戏份 不够 多 ， 片商 改报 最佳 新人 、 最佳 女配角 ， 但 今年 最佳 新人 有 62 岁 最 老 新人 《 海角 七号 》 “ 茂伯 ” 林宗仁 、 同为 11 岁 的 《 ? 男孩 》 “ 2 号 ” 潘亲 御 以及 《 长江 7 号 》 的 小童 星 徐娇 ， 老干 新枝 表现 抢眼 ， 她 能 不能 凭 处女作 打破 花瓶 迷思 ， 难度 颇 高 。 林志玲 昨日 表示 ， 参与 《 赤壁 》 后 更 能 感受 到 电影 是 团队 的 呈现 ， 绝不 是 她 一个 人 可以 造就 的 ， 能够 参与 电影 比 入围 还要 开心 。 往年 较 弱势 的 台湾 电影 ， 今年 《 大 灌篮 》 、 《 九降 风 》 、 《 海角 七号 》 、 《 ? 男孩 》 、 《 情非得已 之 生存之道 》 口碑 票房 都 是 难得一见 的 强盛 阵容 ， 尤其 《 海角 七号 》 刚 得到 东京 海洋 影展 大奖 ， 气势 正 盛 。 第 45 届 金马奖 的 入围 名单 将 于 下 月 30 日 公布 ， 12 月 6 日 在 台 中 举行 颁奖典礼 。 长亭 / 文   
 娱乐 	 余文乐 赴 韩 宣传 新片   人气 高 被 粉丝 围困 ( 组图 ) 新浪 娱乐 讯   刚 从 韩国 出席 完 电影节 回港 的 余文乐 ( 听歌   blog ) ， 今 次 代表 电影 《 青苔 》 联同 导演 郭子健 和 女主角 冼色丽 一同 赴 韩 宣传 ， 笑 说 虽然 只 去 得 几天 又 要 忙 出席 电影 宣傅 活动 和 媒体 映相 访问 ， 但 也 争取 到 时间 逛街 品尝 当地 小食 。   第一次 到 韩国 工作 ， 没想到 原来 当地 早有 一大 班 Fans 守候 他 ， 在 出席 一个 露天 的 电影 宣传 会时 ， 见到 近千人 的 观众 围观 只 以为 是 好奇 的 途人 ， 谁知 他 一 到场 上台 便 听见 台下 如雷贯耳 的 掌声 和 大叫 他 的 英文名 Shawn 才 知道 这 是 来 支持 他 的 Fans ， 大为 惊喜 。   而 走时 更 被 Fans 重重包围 索 签名 , 合照 , 直 把 他 当 男朋友 绕著手 不放 ， 乐仔 只有 尴尬 的 笑 动弹不得 ， 最后 还是 公司 同事 加 当地 护卫 员 出动 把 他 “ 救 ” 出 重围 。 事后 乐仔 对 Fans 的 热情 也 很 感动 ， 他们 也 不停 追问 乐仔 何时 会 再 来 韩国 搅 fan   club   聚会 , 又 说 要 帮 他 搅 韩国 后援会 ， 网上 平台 以 团聚 乐仔 Fans ， 所以 乐仔 答允 下次 再 到 韩国 一定 抽空 和 这班 热情 Fans 相聚 。   回港 后 ， 乐仔 又 会 继续 还 广告片 债 , 做 其 广告 “ 吸水 天王 ” ， 相信 今年 一定 非常 丰收 了 。 tungstar 文 
