时尚 	 组图 ： 2008 年度 最佳 着装 女明星 在 这 一年 里 ， 有人 横空出世 ， 有人 惊艳 复出 ， 有人 一如既往 地 追求 无懈可击 的 公众形象 ， 有人 从 过去 的 一片 混沌 中 蜕变 出 好 品味 。 值得 我们 效仿 的 不止 是 她们 的 穿衣 风格 ， 还有 她们 的 自信 与 勇气 。 Rihanna 无论是 在 流行 乐坛 还是 时尚界 ， 她 都 是 首屈一指 的 itgirl 。 从 华丽 的 Giambattista   Valli 黄色 晚礼服 到 新潮 的 ZacPosen 紫色 羽毛 裙 她 都 能 演绎 得 头头是道 。 她 率先 戴上 今年 最 流行 的 夸张 耳饰 ， 她 的 短发 也 被 许多 女明星 效仿 。 虽然 她 的 大腿 很 粗壮 ， 却 总是 自信 满满地 穿 上 迷你裙 ， 而且 人们 也 总是 夸 它们 既 修长 又 健美 。 Gwyneth   Paltrow 她 的 复出 惊艳 了 整个 时尚 圈 ， 35   岁 的 她 显得 比 以往 任何 时候 都 更 完美 。 她 能 把 短裙 穿 出 经典 和 高贵 感 ， 这 一方面 要 归功于 她 那双 总是 稳稳 穿着 超 高跟鞋 的 无可挑剔 的 美腿 ， 另一方面 是因为 她 最 青睐 黑 白色 。 另外 ， 今年 的 Bob 头 风潮 也 是 她 带动 起来 的 。 Fergie 她 终于 告别 了 露 肚皮 、 扭大 臀 的 混沌 时期 ， 一个 精致 版 的 Fergie 诞生 了 。 从 Grammy 颁奖典礼 上 简洁 的 CalvinKlein 黄色 晚礼服 到 平时 上街 时 的 帅气 宽松 短裤 和 娃娃 领短 上衣 ， 她 的 转变 告诉 我们 ， 能够 收放自如 的 女人 才 是 最 迷人 的 。 Anne   Hathaway 她 在 这 一年 里 的 感情生活 并 不顺 坦 ， 但是 这 丝毫 不 妨碍 她 在 红地毯 上 熠熠生辉 。 拥有 高挑 丰满 的 身材 和 醒目 五官 的 她 不仅 可以 胜任 华丽 复古 的 Roberto   Cavalli 银色 单肩 裙 和 性感 的 Marchesa 黑色 高叉 礼服 ， 穿 黑色 中性 外套 戴小 礼帽 也 一样 很酷 。 
 时尚 	 组图 ： 元旦 约会 4 类 美女 搭配 方案 No.1   甜蜜 小礼 裙 No.1   甜蜜 小礼 裙 No.1   甜蜜 小礼 裙 No.1   甜蜜 小礼 裙 期待 了 很 久 的 烛光 晚餐 ， 怎能 让 马马虎虎 的 装扮 敷衍了事 ， 这件 吊带 丝缎 小礼 裙定 可 让 你 成为 他 眼中 最 光彩夺目 的 小 宝石 。 但 要 抵御 白天 出门时 的 寒冷 ， 并且 不让 路人 对 过于 华贵 的 你 侧目 ， 你 就 需要 一件 足够 漂亮 的 长 风衣 外套 。 白色 外套 可以 让 你 优雅 且 颇具 圣诞 气氛 ， 如果 换作 闪光 面料 或者 火红 色彩 ， 也 可以 让 约会 气氛 更加 浓郁 。 华丽 感觉 的 长靴 的 搭配 不可 小觑 ， 让 你 由内而外 的 两身 装扮 都 能 完美 如 一 ， 它 可是 件 法宝 呢 ！ 
 时尚 	 组图 ： 全智贤 美女 OL 通勤 榜样 衣 编者按 ： 一部 《 野蛮女友 》 风靡 了 整个 亚洲 ， 所有人 都 记住 了 这个 可爱 的 “ 野蛮 女 ” 。 如果说 “ 野蛮 ” 系列 成就 了 全智贤 的 明星 地位 ， 那么 《 雏菊 》 中 全智贤 塑造 的 女画家 ， 淑女 、 悲情 味道 十足 。 这部 作为 全智贤 转型 之作 的 影片 票房 全线 飘红 ， 全智贤 成为 当之无愧 的 亚洲 红星 。 装扮 上 全智贤 一改 往日 甜美 造型 ， 越 趋于 成熟 与 性感 ， 展现 出来 的 是 一种 强势 知性 女性 的 姿态 。 （ 图片 来源 ： 时尚品牌 网 ） 着装 点评 ： 在 红 黑 格子 大热 的 本季 ， 素色 小个子 套装 还是 有 其 一席之地 的 。 简洁 包身 设计 的 款式 适合 身材 较瘦 的 女性 ， 大开领 透出 的 白色 宫廷 白衬衫 张显 女人 味道 ， 如此 搭配 是 和 所有 身材 的 女性 。 在 胸前 别 一朵 黑色 胸花 ， 透出 一个 人 的 生活品质 。   着装 点评 ： 黑色 的 套装 适合 办公室 的 OL ， 如果 你 是 一名 女性 高管 ， 黑色 的 套装 让 你 看起来 更 干练 ， 做事 雷厉风行 。 如果 不想 显得 过于 强硬 ， 还 想 彰显 出 女性 的 柔美 日 ， 那么 在 套装 里面 搭配 大 花边 设计 的 衬衫 则 显得 很 有 女人 味道 。 尤其 紫色 大格 纹衫 ， 与 黑色 套装 配合 很显 品味 。 着装 点评 ： 不同于 以往 的 黑白 搭配 套装 ， 白色 的 衬衣 的 白玫瑰 设计 让 人 喜爱 ， 大气 高贵 使 穿着者 有 一种 典雅 的 美 。 这 身 搭配 同样 适合 女性 高层 ， 是 下属 感到 自己 的 领导 即 锋芒 又 不 使 女人味 。 着装 点评 ： 黑色 套装 上衣 配合 黑色 蕾丝 缎带 衬衣 ， 塑造出 一种 神秘 的 高贵 气质 。 如果 下装 再 搭配 黑色 则 太 沉稳 。 深蓝 的 运用 ， 既 不是 颜色 太过 跳跃 ， 又 修身 显 身材 ， 尤其 是 腰间 的 深蓝色 缎带 ， 修身 的 同时 张显 华丽 气质 。 
 时尚 	 组图 ： 外套 + 靴 新年 一周 搭配 示范 新年 马上 就 到 了 ， 节日 的 快乐 散播 大地 。 穿 什么样 的 服装 ， 搭配 什么样 的 配件 最 适合 这样 的 欢乐气氛 哪 ？ 在 此 精心 为 您 准备 了 新年 一周 全身 的 搭配 ， 让 你 轻轻松松 参加 聚会 ， 再也 不用 为 穿 什么 衣服 而 发愁 。 
 时尚 	 组图 ： 外套 与 牛仔裤 最 绝妙 的 搭配 Diesel 帅性 十足 的 作风 ， 令 女性 充满 干练 的 知性 气质 ， 同时 又 不乏 温柔 的 女人味 ， 简洁 的 线条 、 纯净 的 色彩 也 能 带来 更 多 惊喜 ， 是 OL 们 日常 例会 和 商务洽谈 的 绝佳 装扮 。 性感 中 透露 着 帅气 时髦 。 这 一系列 的 外套 加 牛仔裤 ， 没有 太多 的 颜色 ， 却是 从 整体 造型 及 细节 设计 上 体现 名牌 的 与众不同 。 
 时尚 	 组图 ： 宋慧乔 发型 VS 装扮 妙 搭 20 款 编者按 ： 韩国 的 俏佳人 宋慧乔 百变 造型 魅力 无法 挡 ， 如果 你 也 有 发型 和 服装 的 搭配 难题 ， 就 一定 要 学习 本期 宋慧乔 的 各种 发型 的 穿衣 经 ， 长发 女孩 的 百变 发型 总会 找到 配对 衣 ！ 让 你 也 拥有 与 她 一样 的 百变 魔力 ！ 搭配 指南 ： 果绿色 的 小衫 和 衬衫 叠 穿 也 是 书卷气 的 搭配 ， 细小 的 碎花 或 甜美 的 颜色 都 能 让 你 娇俏 可人 ， 最 适合 你 马尾辫 的 校园 美女 气质 。 搭配 指南 ： 青春 装扮 与 她 的 气质 非常 搭配 ， 粉色 的 针织 外衫 给 人 甜美 的 淑女 味 ， 正好 迎合 卷 发给 人 的 俏皮 感 。 搭配 指南 ： 罩衫 配 棒球帽 ， 相信 所有人 都 会 一见倾心 ， 如此 运动 又 可爱 的 女孩 ， 还有 一丝 小男生 的 帅帅 味道 ， 草编 底 的 鞋子 更 体现 度假 的 轻松感 。 搭配 指南 ： 背带裤 的 可爱 男孩 造型 ， 相信 任何 甜美 女孩 尝试 都 会 赢得 漂亮 教主 的 称号 。 娇滴滴 的 斜 马尾 更 散发 女孩子 的 妩媚 。 
 时尚 	 组图 ： 年底 打折 买 这些 衣服 最 划算 编者按 ： 岁末 打折 信息 满天飞 ， MM 们 外出血 拼 当然 是 常事 ， 现在 就让 小 编来 告诉 你们 必备 的 血拼 服饰 清单 吧 。 让 你 做 一个 时尚 有型 的 个性 MM ！ 李小璐 搭配 建议 ： 极具 褶皱 感 的 长款 针织衫 是 这 一季 的 必备 单品 ， 作为 内 搭品 也 是 不错 的 选择 。 另外 再 腰 上加 一条 宽 腰带 马上 起到 收腰 的 效果 。 帕丽斯 搭配 建议 ： 棉 马甲 在 这 一季 也 很 热卖 品 ， 时尚 的 你 当然 也 不能 错过 。 选择 在 一身 的 运动 造型 的 外面 加上 一件 金属色 的 羽绒 马甲 ， 增加 温度 的 同时 也 不会 显得 很 臃肿 。 李冰冰 搭配 建议 ： 羽绒服 当然 是 这个 冬季 的 必备品 ， 运动 休闲型 的 款式 简单 又 大方 ， 重点 在于 不会 让 你 看上去 很 臃肿 。 李冰冰 搭配 建议 ： 这个 季节 对 大衣 里 的 内 搭品 的 选择 似乎 变得 更 重要 了 ， 贴身 的 黑色 高领 衫 能够 很 好 的 展现 你 完美 的 身材 ， 另外 加上 一条 精致 的 项链 的 点缀 ， 更加 提升 亮点 。 
 时尚 	 组图 ： 揭密 明星 永不 贬值 的 百搭衣 编者按 ： 冬季 盛放 ， 在 女人 永远 都 缺 一件 的 衣橱 里 什么 才 是 常青 的 宝贝 ？ 百搭 盛行 ， 那么 又 是 什么 才 真正 做到 百搭 又 不会 被 嘲笑 贬值 落后 ？ 让 我们 一起 在 明星 的 身上 找寻 这些 美丽 的 密码 吧 ！ 杨峥 小编 点评 ： 杨峥 的 红色 贝雷帽 ， 简单 又 帅气 ， 给 厚重 的 冬装 一抹 青春 的 活泼 。 在 冷空气 来袭 的 时候 ， 大家 不约而同 的 想到 帽子 ， 可 帽子 不仅仅 是 御寒 的 保暖 品 哦 ， 当 帽子 在 五颜六色 和 款式 多样 的 装点 下 呈现 于 人们 眼前 时 ， 帽子 ， 就 已经 成 了 女人 不可或缺 的 扮靓 圣品 。 小编 点评 ： 小 西服 ， 不知 在 何时 起 悄悄的 进驻 了 每个 女人 的 衣柜 ， 或 率性 、 或 甜美 、 或 华贵 、 或 嬉皮 ， 也许 每个 女人 穿出 的 味道 都 不同 ， 但 可以 肯定 的 是 ， 每个 女人 都 需要 这样 美丽 的 外衣 。 容祖儿 小编 点评 ： 容祖儿 的 穿衣 哲学 永远 都 半分 中性 半分 柔美 ， 她 选择 了 格子 衬衫 ， 然后 告诉 我们 跟着 时尚 一 起来 怀旧 。 放眼 2007 年 的 秋冬 时装界 ， 怀旧 的 气息 浓郁 万分 ， 是 谁 说 的 流行 是 个 大 轮回 ？ 这样 简单 纯净 的 格子 衫 也许 就是 最好 的 证明 。 阿 娇小 编 点评 ： 过 了 夏天 ， 不要 过早 收起 吊带 背心 ， 像 阿娇 这样 层叠 搭配 同样 可以 在 冬季 大放异彩 。 当然 背心 有 很 多种 ， 宽带 、 吊带 到 无肩带 ， 单色 、 花纹 到 卡通 图案 ， 如果 想要 保险 起 见 ， 还是 建议 选择 简单 且 素净 的 款式 吧 。 
 时尚 	 组图 ： 最 时髦 的 世界 名人 穿衣 经 《 名利场 》 ( Vanity   Fair ) 杂志 是 时尚 的 风向标 。 年底 ， 《 名利场 》 举办 了 “ 谁 是 最 时髦 的 世界 名人 ” 第 69 届 民意调查 ， 根据 调查 ， 排在 前 十位 的 有 奥巴马 的 妻子 、 法国 第一夫人 、 威廉 王子 的 女友 … … 借着 榜单 ， 让 我们 看看 他们 平时 都 是 怎么 穿衣服 的 。 伊万 卡 - 特朗普   Ivanka   Trump25 岁 的 伊万 卡 - 特朗普 ， 当 过 世界 超级 名模 ， 是 美国纽约 房地产 巨鳄 “ 特朗普 集团 ” 副总裁 、 伊万 卡 - 特朗普 珠宝 公司总裁 ， 未来 将要 继承 大约 21 亿美元 的 巨额财产 ， 今年 是 连续 第二年 登上 美国 《 福布斯 》 杂志 的 全球 十大 未婚 女 富豪 排行榜 榜首 。 世界 上 还有 哪个 女孩 ， 能比 伊万 卡 - 特朗普 更 幸运 ？ 常驻 纽约 的 她 自然 在 时尚 的 最前沿 ， 她 本身 就是 个 时尚 传奇 。 她 和 她 家族 所 拥有 的 财富 和 权力 少 有人 及 ， 本人 也 是 气质 独特 脸蛋 美丽 ， 穿衣 风格 集 经典 、 现代 于 一体 ， 并 难能可贵 地 赋予 这 两种 风格 女性 的 娇美 。 不 离身 的 时尚 装备 ： 5 英寸 高跟鞋 2008 年 最 喜欢 的 时尚 品 ： Yves   Saint   Laurent 黑色 便服 莎拉 - 杰西卡 - 帕克   Sarah   Jessica   Parker 《 欲望都市 》 中 她 饰演 了 纽约 时尚 女作家 ， 让 她 也 成为 时尚 的 代言人 。 论 漂亮 说不上 ， 可是 她 身上 就是 有种 说不出 的 魅力 ， 她 的 穿衣 风格 也 不负众望 ， 总是 能 让 她 在 明星 中 也 显得 与众不同 。 她 饰演 的 角色 嗜 高跟鞋 如命 ， 不管 是 《 欲望都市 》 的 电影版 还是 电视 版 都 曾 掀起 时尚 狂潮 ， 捧 红 了 Blahnik 高跟鞋 。 已经 43 岁 的 她 ， 仍旧 走 在 时尚 最前沿 ， 让 我们 全然 忘记 她 的 真实 年龄 。 标志性 风格 ： 可爱 不失 性感 最 喜欢 的 服装品牌 ： Bitten2008 年 最 惹眼 的 装扮 ： 出席 《 欲望都市 》 电影 伦敦 首映式 时 穿 的 Alexander   McQueen 绿茶 长款 礼服 、 黑色 细 高跟鞋 、 Philip   Treacy 花型 帽子 。 茱莉亚 - 科奇   Julia   Koch 她 嫁给 了 世界 上 最 有钱 的 男人 之一 ， 人们 都 羡慕 她 的 纽约 上 东区 贵族 生活 。 婚后 作为 全职 妈妈 的 茱莉亚 生 了 三个 孩子 ， 有 了 母性 美 ， 46 岁 成熟 女性 风韵 再 加上 常常 与 丈夫 出席 酒会 ， 她 身上 也 有 贵妇人 的 气质 。 白天 着装 随意 自然 ， 而 夜晚 出席 正式 场合 则 雍容华贵 。 必备 的 时尚 单品 ： 简洁 利落 的 Carolina   Herrera 白色 衬衣 
 时尚 	 组图 ： 王府井 街头 长靴 美女 实拍 编者按 ： 长靴 加 中裤 已经 成为 今年 秋冬 流行 的 又 一 热点 ， 比起 锥形 裤加 靴 的 搭配 ， 中裤 和 靴 的 搭配 更 能秀出 纤细 的 小腿 ， 所以 腿 有些 粗 的 美女 们 一定 不要 忽略 这个 诀窍 。 北京王府井 街头 美女 都 是 如何 Show 出 最 闪亮 的 自己 的 呢 ？ 让 我们 来 先睹为快 ！ 层次感 极强 的 搭配 ， 灰 粉色 的 长 背心 是 很 出彩 的 单品 ， 牛仔 中裤 简洁 利落 做 旧 的 感觉 很 有 时尚 感 ， 上 繁下 简 轻重 有序 ， 是 不可多得 的 搭配 典范 。 抽象 花朵 图案 长裙 ， 红色 毛领 夹克 与 豹纹 靴 的 组合 热情 又 狂野 ， 猫 一样 妩媚 的 眼妆 让 豹 女郎 的 称呼 名副其实 。 真丝面料 的 长裙 能 衬托 穿着者 古典 柔美 的 东方 气质 ， 柔美 的 颜色 也 十分 含蓄 内敛 ， 飘逸 的 感觉 立刻 塑造 轻盈 感 。 今年 秋冬 大放异彩 的 呢 制格纹 中裤 可是 潮 人们 必备 的 单品 ， 搭配 长靴 长袜 立刻 变 身为 今季 的 潮流 风向标 。 
 时尚 	 组图 ： 男人 眼中 最 IN 的 20 种 穿法 究竟 是 迷你裙 更 性感 还是 瘦腿裤 更 迷人 ？ 正如 妖娆 的 花 和 笔直 的 树 都 是 自然界 的 性感 生态 一样 ， 张扬 的 迷你裙 和 含蓄 的 瘦 腿 裤 ， 都 是 男人 眼中 最 IN 的 性感 姿态 。   ( 左 ) 黑色 衬衫 设计 低调 简约 ， 加长 的 袖口 长度 及 闪亮 的 银色 扣饰 则 使 之 有 了 几分 新意 ， 搭配 素净 的 散 摆 裙 ， 顿时 营造 出 俏丽 纯净 的 淑女 味 。   ( 右 ) 宽松 的 针织 背心 最能 展现 女人味 的 温馨 平和 ， 搭配 瘦腿裤 ， 则 显示 出 几分 利落 随意 。   牛仔裙 搭配 就 对 性感 时髦 ， 再 加 一双 黑色 长袜 ， 更加 诱惑 。 紧身 黑色 T恤 搭配 紧身 牛仔裤 ， 完美 彰显 窈窕 曲线 ， 外加 一件 超短 款 的 针织 小衫 、 一条 别致 的 腰带 ， 俏丽 的 女人味 顿时 展露 无遗 。 迷你裙 总让 人 感觉 俏丽 而 动感 十足 ， 搭配 套头 针织衫 则 营造 出 几分 平和 亲切 ， 一双 随意 的 高筒靴 则 为 之 赋予 几分 英气 。 
