时尚 	 组图 ： 香肩美 锁骨   性感 不 张扬 女人 哪个 部位 最美 最 性感 ？ 不是 红唇 ， 不是 翘 臀 ， 更 不是 波胸 ， 而是 肩膀 。 锁骨 ， 是 你 身着 斜肩 上装 引来 同性 羡慕 的 地方 ， 是 被 抹胸 曳 地长 礼服 衬托 得 最 耀眼 的 地方 ， 它 的 美 充满 灵性 ， 让 女人 立刻 有 了 一种 轻盈 的 气质 。 它 堪称 女人 身上 一道 最美 的 风景线 。 今夏 ， 单肩 装将 低调 并 一枝独秀 地 流行 着 ， 一抹 香肩 半边 锁骨 的 靓丽 ， 同时 造就 了 几个 层次 的 美感 ， 不 对称 、 错落 感 、 优雅 、 性感 … … 一切都在 那 微微 倾斜 的 一道 色彩 。 单肩 休闲 衫   搭配 牛仔 最 IN 如果 你 认为 ， 单肩 风潮 仅仅 适用 于 相对 正式 的 礼服 或 小 洋装 ， 那 你 就 大错特错 了 ， 一款 棉质 的 普通 T恤 ， 只 需 在 剪裁 上作 一些 调整 ， 同时 将领 口开 大 ， 就 能 轻松 呈现出 当季 最 In 的 单肩 感觉 ， 在 斜肩 处 露出 细细的 肩带 ， 搭配 牛仔裤 就 很 好看 。 时尚 女王 凯特 － 摩丝 永远 懂得 美的 定义 ， 就 连 最 普通 的 T恤 ， 一样 可以 穿出 最 Fashion 的 感觉 。 单肩 小 洋装   呈现 多样 风格 短款 单肩 连衣裙 根据 面料 、 剪裁 的 不同 ， 往往 可以 展现出 多样 、 多变 的 风格 。 礼服 型 的 单肩 连衣裙 充满 野性 ； 而 缎面 、 丝绸 材质 的 连衣裙 则 散发 着 迷人 的 青春 气息 。 “ 绯闻 女孩 ” 布莱克 － 莱 弗利 一袭 玫 红色 缎面 单肩 小 洋装 ， 玲珑 曲线 凸显 无遗 。 
 时尚 	 组图 ： 欧美 明星 都 爱 长裙 浪漫 优雅 风 每 一位 女性 都 有 长裙 的 情节 ， 适合 与否 还 不是 最 关键 ， 关键 还是 长裙 的 浪漫 女人 风情 。 的确 它 可以 唤起 每 一位 女性 心中 的 公主 心理 ， 浪漫 多情 ， 优雅 高贵 ， 没错 了 ， 今年夏天 马上 就 会 挂 起 浪漫 长裙 的 风潮 ， 看看 欧美 明星 们 有 多 爱 它 — 长裙 。 文图 / 生活 训练 师 ( blog ) 
 时尚 	 小物 造型 加 分 ： 巧 搭 夏日 围巾 ( 组图 ) 围巾 已经 是 大牌 设计师 的 秀场 必 不 缺少 的 造型 小物 了 ， 春夏秋冬 的 T台 都 少不了 它 的 小 身影 。 夏日 服装 搭配 围巾 ， 穿 出 层次 造型 感 。 粉色 格纹 的 围巾 搭 在 宽松 款 连衣裙 上 ， 帅气 美丽 ， 围巾 变成 全身 的 亮点 ， 变 主角 哦 ！ 粉色 双面 格子 小 方巾 ， 搭配 度 一流 。 白色 长款 背心 连衣裙 ， 配 上 粉色 格子 小 方巾 ， 可爱 美丽 。 蓝色 格子 的 小 方巾 ， 系成 领巾 在 颈间 ， 和 全身 色彩 柔和 对比 ， 可爱 俏皮 。 
 时尚 	 组图 ： 10 款 内衣 让 你 变身 动人 少女 Intimissimi 品牌 内衣 女性化 的 细腻 设计 ， 舒适 的 剪裁 和 浑圆 的 外型 ， 是 每个 女性 都 会 喜爱 的 款式 ； 撩人 的 集中 托高 剪裁 ， 主打 性感 的 蕾丝 刺绣 与 浪漫 甜美 的 花色 ， 能 帮助 女性 展现 迷人 的 身型 ， 助 你 在 重要 时刻 传递 无限 妩媚 风情 。 
 时尚 	 组图 ： Big   Girl 胖 女孩 “ 梨形 ” 阔 臀 搭配 有 绝招 当 你 每次 站 在 镜子 前 ， 主观 地 审视 着 自己 的 全身 ， 是否 都 会 发出 ： “ 我 的 XX 又 胖 了 ” 的 感叹 ？ 其实 ， 不要 说 我们 ， 就 连 一个个 充满 自信 、 气宇轩昂 地 走 在 星光 大道 上 的 女星 们 也 未必 个个 都 有 天生 完美 的 身材 。 你 是 上身 太胖 ？ 手臂 太粗 ？ 还是 上下 比例 失衡 造成 某个 部位 异军突起 ？ 其实 这些 都 无所谓 ， 关键 是 在于 后天 的 穿着打扮 。 女人 的 最大 魅力 就 在于 了解 自己 ， 不是 把 时 下 流行 元素 统统 堆 在 身上 就是 窈窕 ， 而是 需要 根据 自己 的 特色 、 体型 选衣 搭配 才 是 上 上策 。 那么 这次 我们 就 针对 几种 胖 元素 ， 对症下药 ， 做个 全面 诊断 演习 ， 除了 让 你 视觉 瘦身 ， 穿 得 有 型 才 是 终极目标 。 Kate   Moss 都 不再 做 柴禾 妞儿 ， Lady   Gaga 更以 胖 姿态 的 惊世 亮相 红爆 全球 ， Big   Girl 们 何须 再 跟 减肥 较劲 ， 努力 晋身 腔调 达 人才 是 当务之急 ！ 
 时尚 	 组图 ： 加个 帽子   T恤 + 短裤 就 变 不 一样 夏天 到 了 ， 天气 越来越 炎热 ， MM 们 赶快 换上 清爽 的 T恤 和 短裤 吧 ， 学习 简单 款 的 时尚 休闲 穿 搭 。 运动 款 上衣 搭配 短裤 ， 露出 修长 的 双腿 ， 活力 清爽 。 不 想要 太 运动 的 感觉 ， 就 搭 双 改良 款 的 角斗士 凉鞋 增加 时髦 度 ！ 宽松 款 灰色 T 搭配 糖果 色 短裤 可爱 俏皮 ， 蓝色 的 鞋子 和 短裤 很 搭配 ！ 可爱 的 手绘 帆船 图案 清爽 白 T ， 配搭 浅蓝 做 旧 牛仔 短裤 ， 清爽 十足 。 紧身 小 T 重叠 穿 搭 增加 造型 感 ， 牛仔 短裤 加条 背带 ， 帅气 十足 哦 ！ 
 时尚 	 组图 ： 大热天 美女 明星 都 爱 穿 短裤 在 炎热 的 夏季 ， 穿 连衣裙 并 不是 扮美 唯一 的 方法 。 可以 尝试 一些 别的 搭配 适当 换换 口味 ， 比如 本季 明星 就 非常 钟爱 短裤 与 长衫 的 使用 ， 这样 的 搭配 到底 能 带来 什么 风格 呢 ， 小编 为 你 图解 明星 穿衣 的 成功经验 。 宽松 长衫 与 及 膝 短裤 ， 可以 瘦身 ！ part1   宽松 的 长衫 遮盖 腰腹 的 赘肉 ， 紫色 圆点 图案 很 有 跳跃 感 和 时尚 感 。 part2   白色 及 膝 短裤 让 大腿 变 的 苗条 ， 与 长衫 很 和谐 。 part3   凉 拖 上 的 附 在 花饰 让 略显 单调 的 服饰 变得 更 有 看点 。 漏肩 T恤 与 超短裤 ， 最 性感 的 扮 嫩 装 。 part1   束腰 下 的 T恤 形成 的 宽松 部位 ， 起到 很 好 的 遮盖 作用 。 漏肩 T恤 让 肩部 显露 ， 增加 骨感 。 part2   在 T恤 上扎 腰带 是 很 时尚 的 穿戴 ， 白色 与 服饰 很 搭配 。 part3   条形 凉 拖 与 T恤 的 纹路 呼应 ， 而且 很 性感 。 T恤 短裤 与 筒 靴 ， 反季节 混 搭 秀美 腿 。 part1   白色 的 T恤 造型 很 新颖 ， 下摆 折叠 向上 ， 形成 丰富 的 纹理 变化 。 part2   粗壮 的 皮草 筒 靴 与 宽松 T 作用 恤 一样 ， 通过 扩展 体形 使得 腿部 形成 视觉 上 的 缩小 。 part3   贴身 的 超短裤 与 肤色 形成 一个 层次 ， 颜色 很 雅致 。 雪纺 与 牛仔 ， 实用 又 知性 。 part1   雪纺小裙 完全 遮盖 上身 的 腰围 ， 小巧 可爱 而 又 不失 层次 。 part2   皮靴 的 棕红色 时尚 抢眼 ， 并 让 小腿 的 线条 不 那么 明显 。 part3   牛仔 短裙 增加 了 几分 野性 。 而 与 蓬松 的 上衣 搭配 会 让 让 你 显得 不 那么 招摇 。 
 时尚 	 组图 ： 急速 升温   夏季 格纹 圆点 奏鸣曲 编者按 ： 充满 了 英伦 气质 的 格纹 和 田园 风格 的 圆点 一直 都 是 时尚 和 复古 兼具 的 两大 流行 元素 。 但是 穿 不好 就 会 变得 很 俗气 ， 这 可 让 时尚 达 人们 伤透 了 脑筋 。 如何 让 急 聚 人气 的 格纹 和 圆点 在 夏日 谱 出 不同 风格 的 乐章 呢 ？ 就让 小 编来 为 你 排忧解难 吧 。 气质 格纹 时尚 点评 ： 红色 格纹 连衣裙 突显 完美 的 身材 曲线 ， 胸前 的 黑色 蝴蝶结 装饰 增加 了 俏皮 感 。 因为 是 裹 胸 款式 连衣裙 ， 所以 格纹 图案 不会 显得 过于 甜美 。 搭配 漆皮 包包 ， 显得 性感 娇美 。 时尚 点评 ： 高腰 的 设计 体现 了 时 下 流行 的 复古 田园 风格 。 胸前 的 褶皱 让 胸围 在 视觉 上 up 了 一个 罩杯 。 橙 黑 相间 的 色彩 让 容易 沉闷 的 格纹 显得 活力 四射 。 搭配 麦杆 礼帽 让 心情 一下子 放飞 起来 。 时尚 点评 ： 在 夏日 凉风 中轻舞 飞扬 的 雪 纺格纹 连衣裙 最 适合 出游 穿着 ， 镂空 的 部分 显示 出 精致 的 工艺 。 把 沉重 的 皮包 收 起来 ， 拎 起 可爱 的 手提 草编 包 去 美美 地度 个 假 吧 ！ 时尚 点评 ： 草编 包 最 适合 夏天 使用 ， 方型 更加 实用 。 看起来 像 两件 式 的 绿色 格纹 吊带裙 是 让 人 一见倾心 的 款式 ， 与 今夏 大热 的 罗马 角斗士 凉鞋 搭配 出 独特 的 时尚 感觉 。 
 时尚 	 组图 ： 我 穿 白裙 赴约 会 好感度 UP 女人 怎么 会不爱 轻罗薄衫 ， 怎么 会不爱 纯白 浪漫 ， 柔软 舒适 的 质地 ， 轻薄 通透 的 清爽 与 隐约可见 的 性感 都 集其 一身 ， 内外 层叠 的 搭配 给 人 无限 的 想象 空间 ， 柔美 风情 轻松 掳获 甜蜜 的 心 ， 这样 充满 诱惑力 又 不失 高品位 的 单品 ， 让 你 轻松 拥有 妩媚 女人味 ， 让 你 的 他 慢慢 靠近 。 超薄 雪纺 轻巧 妩媚 搭配 点评 ： 白色 雪纺 长裙 十分 温婉 雅致 ， 搭配 清爽 短发 更加 清新 可人 ， 吊带 的 款式 也 很 性感 ， 纯纯 的 学生味 更加 妩媚 至极 。 超薄 雪纺 轻巧 妩媚 搭配 点评 ： 希腊式 长 白裙 是 优雅 高贵 的 代名词 ， 正好 搭配 上 大S 的 淑女 气质 ， 低胸 + 裹 胸 的 式样 强调 了 胸部 的 线条 ， 令 胸部 更加 圆浑 诱人 。 超薄 雪纺 轻巧 妩媚 搭配 点评 ： 矮个子 张韶涵 挑战 穿 长裙 ， 却 意外 的 很 成功 ， 高腰 的 设计 可是 成功 的 重点 ， 把 下身 的 比例 拉长 能 让 你 看上去 至少 高 了 5 公分 哦 。 白色 柔情 温婉 清雅 搭配 点评 ： 刺绣 背心 搭配 蓬蓬裙 十分 动感 妩媚 ， 薄纱 下摆 更加 性感 妖娆 ， 其 透视 度 也 让 人 经不住 要 浮想联翩 。 
 时尚 	 组图 ： 时装 大牌 一改 优雅   玩上 漂白 破 牛仔 时尚 怪才 、 前 爱马仕 创意 总监 梅森 - 马丁 - 马 吉拉 ( Maison   Martin   Margiela ) 是 “ 超级 破烂 牛仔裤 ” 的 始作俑者 ， 他 在 2008 年春夏 时装秀 上 让 模特 穿着 “ 衣不蔽体 ” 的 牛仔裤 出现 在 T台 上 ， 超级 破烂 牛仔 就 不可避免 的 成为 时尚 ， 加之 具有 时尚 风向标 功能 的 明星 们 的 热烈 参与 ， 让 破 牛仔裤 风潮 从 08 延续 到 今 ， 甚至 越演 越烈 。 欧洲 另 一个 时尚 怪才 、 英国 新锐 设计师 加勒斯 － 普   ( Gareth   Pugh ) 不久前 在 其 2009 秋冬 时装秀 上 ， 推出 男士 超破 牛仔 ， 宛如 一场 SM 现场 秀 ， 热辣 得 让 人 咂 舌 。 Maison   Martin   Margiela 的 破 牛仔裤 高 达 $ 495 美金 一条 
 时尚 	 组图 ： 腰带 配饰 打造 夏季 美人显 瘦装 夏天 的 装扮 以 轻便 凉爽 为主 ， 在 层次 上 不会 有太多 堆积 以免 增加 身体 的 负担 ， 一般 大家 会 用 印花 来 弥补 层次 不足 的 缺陷 ， 不过 ， 饰品 的 装饰 作用 也 是 不可 忽视 的 ！ 比如 一条 适合 的 腰带 ， 不仅 能 起到 增加 层次感 的 装饰 作用 ， 也 同时 起到 收腰 的 功能 作用 ， 一举两得 。 ( 图文 / 生活 训练 师 blog ) 浪漫 花朵 腰带 腰带 的 扣环 做成 一朵 立体 的 花朵 在 装饰 上 有 很大 的 烘托 效果 ， 配合 浪漫 的 印花 雪纺裙 ， 整体 感觉 更加 充满 女人味 。 超细 款 蝴蝶结 腰带 超细 款 的 腰带 一定 要 搭配 合体 的 服装 ， 否则 很 容易 被 遮挡 而 无法 显示 出 它 的 装饰 作用 来 ， 蝴蝶结 的 设计 更是 贴近 女孩儿 的 心理 ， 增加 更 多 可爱 气质 。 漆皮 蝴蝶结 腰带 带有 光泽感 的 漆皮 是 夏季 的 宠儿 ， 特别 是 搭配 明亮 的 黄色 ， 更 增添 了 这款 腰带 的 魅力 ， 当然 ， 蝴蝶结 的 造型 也 是 重要 的 组成 元素 ， 烘托出 细腻 甜美 的 感觉 。 黑色 缎面 蝴蝶结 腰带 低调 的 黑色 与 高贵 的 缎面 材质 是 突出 优雅 气质 的 重点 ， 配合 黑白 圆点 A 形 连衣裙 突出 小 女人 的 可爱 活力 。 
