时尚 	 美人 时刻 ： 当 白衬衫 碰上 水 ( 组图 ) 导语 ： 女明星 们 有时 为了 性感 出 位 ， 不惜 暴露 身体 的 各个 部位 ， 然而 都 说 性感 的 最高 境界 是 隐约 窥视 的 魅力 ， 那么 湿身 装 绝对 是 令 男人 神魂颠倒 ， 令 女人 都 无法 正视 的 一类 诱惑 突袭 法 。 其实 最 简单 最 朴素 的 白衬衫 一直 是 终极 诱惑 的 一种 ， 只要 解开 三粒 扣子 或 湿身 ， 那 若隐若现 的 性感 诱惑 绝对 秒杀 众生 。 安吉丽娜 - 朱莉 一件 极其 普通 的 白色 背心 ， 穿 在 朱莉 的 身上 ， 比 着 性感 泳衣 更能 掠夺 住 人们 的 目光 … …   蔡妍 和 徐仁英 随着 音乐 的 旋律 ， 蔡妍 和 徐仁英 进入 水帘 上 的 一瞬间 ， 白色 上衣 被 水 浸透 ， 黑色 内衣 马上 就 显露 了 出来 ， 画面 极具 诱惑 。 周显 欣周 显欣 的 别名 — — 巩俐 的 “ 裸替 ” 。 如果 不是 之后 有 “ 巩俐 裸替 ” 这样 的 新闻 爆 出来 ， 也许 很少 有人 注意 到 ， 原来 《 周渔 的 火车 》 里面 有 两个 “ 巩俐 ” ， 其中 一个 就是 周显欣 。 江一燕 虽然 也 是 湿身 ， 但是 江一燕 的 湿身 却 那么 清新自然 ， 别有 一番 风情 。 
 时尚 	 组图 ： OL 人气 女王 13 个 春意 暖 搭 导语 ： 虽然 西装 外套 是 职场 的 必备品 ， 但 在 没有 正式 会议 的 时候 ， 挂 起 那 乏味 的 束缚 感 与 冬日 带来 的 沉闷 ， 让 清新 的 浪漫 风 充满 整个 办公室 变 身 人气 女王 ！ 桃 粉色 大 V 领衫 展现 你 甜美 的 一面 ， 搭配 白色 绒絮 马甲 ， 给 人 暖洋洋 的 感觉 。 不 对称 装饰 花小 TEE 带有 一丝 复古 气息 ， 搭配 花色 半身裙 ， 尽显 优雅 气质 。 黑色 小 翻领 衫 ， 亮片 的 装饰 打破 了 单调 的 黑色 ， 搭配 黑色 波点 半身裙 ， 凸显 干练 的 气质 。 彩色 格子 拼接 小衫 带来 活力 的 感觉 ， 搭配 深蓝色 紧身 牛仔裤 ， 舒适 又 自 在 。 
 时尚 	 组图 ： 一个 肚兜   两个 看点   三面 春光 导语 ： 时尚 圈 从来 不乏 勇于 尝试 、 大胆 创新 的 潮人 ， 尤其 是 走 在 时尚 最前沿 的 女明星 们 ， 古今中外 服饰 经过 稍稍 改良 就 又 能 掀起 一阵 时尚 风潮 ， 而 这 一次 ， 被 改良 的 则 是 极具 中国 风格 的 红 肚兜 。 章子怡 、 巩俐 、 阿 Sa 、 林志玲 、 白灵 、 孙俪 等 一众 女星 演绎 的 性感 肚兜 ， 不知 爱美 的 MM 有没有 动心 呢 ？ 张柏芝   肚兜 装 的 流行 ， 发端 于名 女人 ； 名 女人 ， 犹如 靓丽 流行色 的 发布 台 。 章子怡 在 国际 电影节 上以 大红 肚兜 与 雪白 肌肤 闪亮 登场 ， 不知 迷倒 了 多少 时尚 女孩 … … “ 内衣 外穿 ” 的 潮流 ， 让 许多 女明星 把 本属 内衣 的 肚兜 当作 外套 甚至 礼服 穿着 招摇 过世 。 章子怡   肚兜 装 的 流行 ， 发端 于名 女人 ； 名 女人 ， 犹如 靓丽 流行色 的 发布 台 。 章子怡 在 国际 电影节 上以 大红 肚兜 与 雪白 肌肤 闪亮 登场 ， 不知 迷倒 了 多少 时尚 女孩 … … “ 内衣 外穿 ” 的 潮流 ， 让 许多 女明星 把 本属 内衣 的 肚兜 当作 外套 甚至 礼服 穿着 招摇 过世 。 巩俐 李宇春 
 时尚 	 组图 ： 女星 红毯 撞 衫 到底 谁 是 山寨 版 导语 ： 华人 女星 VS 欧美 女星 的 绝美 礼服 PK ， who   is   better ? 尽量 选取 颜色 、 款式 、 质地 相同 的 来 PK ， 极其 喜欢 这些 绝 美的 礼服 ， 看 谁 演绎 的 更好 ！ 看 那个 更 有 味道 ？ 更是 你 的 那杯 茶 。 汤 唯 这件 当时 很令 我 惊艳 了 一把 ， 清新 也 妩媚 ， 虽然 很多 人 形容 表情 有点像 “ 英勇 就义 “ 的 感觉 。 TaylorSwift2009 最火 的 乡村 女歌手 长得 的确 不错 ， 这 身 非常 美 ， 我 都 怀疑 我 是 不时 写错 名字 了 。 即 复古 又 娇艳欲滴 ， 我 觉得 妆容 和 配饰 上小胜 。 一样 的 白皙 ， 一样 的 迷人 。 小章 ， 含蓄 秀美 ， 甜蜜 的 东方 气质 。 Jessica - biel 热烈奔放 。 原来 贝尔 同学 的 礼服 如此 闪耀 啊 ， 街 拍 看 多 了 总以为 很 低调 啊 ， 礼服 闪耀 好 啊 。 
 时尚 	 组图 ： 影 后周 迅走 简约 路线   单色 礼服 巧 搭 穿 出位 导语 ： 当 很多 人 都 在 怀疑 离开 李大齐 后周 迅 是否 还 能 穿 的 美 ， 穿 出位 的 时候 ， 事实 告诉 了 大家 -- 没有 李大齐 周迅 穿 的 更 美 更 时尚 。 少 了 很多 雷人 的 造型 ， 周迅 开始 走 简约 路线 ， 单色 的 礼服 巧妙 的 搭配 ， 使 周迅 看起来 更加 大方 优雅 。 在 《 风声 》 还 未 上映 时 的 天津 首映礼 上 ， “ 老鬼 ” 周迅 身着 一袭 紧身 黑色 Alaia 小 礼服 出场 。 胸前 的 银制 的 饰物 设计 大胆 ， 时尚 感 十足 与 黑色 礼服 搭配 得 恰到好处 ， 打破 了 单调 。 褐色 的 礼服 并 不多见 ， 但 周迅 却 将 其 巧妙 的 搭配 出 了 复古 风格 。 这套 服装 最大 的 亮点 就是 胸前 几何 型 的 项链 ， 几何 形状 时尚 感 与 复古 并存 ， 与 衣服 干净利落 的 剪裁 相得益彰 。 周迅 的 娇俏 女特工 造型 。 依然 让 黑色 成为 主角 ， 发型 更 有些 赫本 的 影子 。 短款 手套 的 配套 成为 了 亮点 ， 还 增加 了 硬朗 的 感觉 ， 而 点睛之笔 的 银 质感 戒指 又 为 整身 复古 的 造型 注入 了 时尚 元素 。 要 知道 ， 这个 戒指 是 周迅 灵机一动 ， 从 原本 要 配戴 的 项链 中 巧夺天工 的 一部分 。 香港 是 亚洲 的 时尚 之 都 ， 而 黑色 永远都是 时尚 人士 的 宠儿 。 周迅 的 这件 黑色 礼服 乍看之下 似乎 过于 简洁 ， 但 只要 仔细观察 就 会 发现 它 的 肩头 原来 暗藏玄机 。 橘色 与 黑色 的 搭配 让 人 眼前一亮 。 
 时尚 	 组图 ： 惊艳 还是 惊吓 ？ 女星 穿 旗袍 也 雷人 导语 ： 旗袍 古典 、 雅致 ， 都 说 旗袍 最能 展现 东方女性 的 美 。 女星 们 穿 上 旗袍 后大 多变 的 十分 惊艳 ， 旗袍 真的 很 有 魔力 ！ 不过 ， 在 神奇 也 要 会 穿 才 行 ， 看看 下面 这些 美女 们 ， 能 把 旗袍 穿 得 如此 雷人 也 不失为 一种 强大 。 
 时尚 	 组图 ： 最潮 奶爸 ！ 看 明星 居家 时尚 导语 ： 谁 说 带 孩子 是 女人 的 专利 ， 看看 这些 好莱坞 当 上 父亲 的 男明星 们 ， 带 着 小孩 出 街 ， 对 小孩 照顾 的 无微不至 ， 十足 好 父亲 模样 ， 展现 了 他们 作为 人父 温柔 的 一面 ， 更具 男人 魅力 。 布拉德 - 皮特 善待 朱丽 收养 的 两个 小孩 ， 而且 在 女儿 希洛 出生 前夕 ， 推掉 了 戛纳 的 邀请 ， 为 的 就是 不肯 错过 女儿 的 出生 。 现年 27 岁 的 希斯 - 莱吉尔 在 去年 孩子 出世 前 暂别 影坛 ， 花费 一年 的 时候 照看 自己 将要 出生 的 孩子 ， 做 了 一个 尽职 的 “ 奶爸 ” 。 本 - 艾 弗莱 克 为了 照顾 妻子 和 出生 不久 的 孩子 ， 小本 就 像 变 了 一个 人 一样 ， 尽量 控制 并 减少 吸烟 量 ， 成 了 不折不扣 的 “ 新好 男人 ” 。   在 2001 年 奥斯卡 颁奖 晚会 上 ， 虽然 威尔 - 史密斯 凭借 《 阿里 》 的 演出 获得 了 最佳 男演员 的 提名 ， 可是 还是 提早 溜走 。 原来 ， 威尔 - 史密斯 的 小女儿 当时 发高烧 ， 他 怎么 也 放心不下 ， 索性 直接 赶到 医院 去 了 。 
 时尚 	 组图 ： 让 街 拍潮 女 尖叫 的 闪亮 蕾丝 裤 导读 ： 今年 最 流行 什么 ？ 如果 你 只答 Skinny 瘦腿裤 ， 那么 你 顶多 只能 拿到 50 分 ， ， 变化多端 花样翻新 的 蕾丝 裤 也 是 一大 热点 ！ 若隐若现 的 裸露 比 完全 的 暴露 性感 的 多 ， 各式 蕾丝 花纹 也 为 时尚 度添 了 不少 分 ！ 
 时尚 	 组图 ： “ 至酷 ” 单品   满是 科幻 奇想 导语 ： 时尚 是 缤纷 几何 ？ 是 浪漫 异域 ？ 是 解构 艺术 ， 亦 或是 科幻 奇想 ？ 时尚 包含 着 万千 奇思异 想 ， 设计师 把 不同 定义 的 美用 自己 的 方式 诠释 ， 充满 了 设计 感 与 时代感 的 单品 让 人 爱不释手 。 在 狂吹 了 80 年代 风 的 09 年 ， 你 有否 注意 到 Givenchy 充满 哥特 风格 的 金属 蝴蝶结 领结 ？ 带有 民俗 风味 的 俄罗斯 娃娃 珐琅 腕包 或是 富有 科幻 意味 的 亮片 手型 项链 ？ 个性 、 另类 、 可爱 ... 一 起来 感受一下 时尚 配饰 带来 的 魅力 吧 。 这缀 满 了 亮片 的 黑色 手套 ， 其实 是 “ 手型 项链 ” ， 来自 比利时 设计师 Christophe   Coppens 。 这 款项 链 融入 了 设计 对于 高级 定制 的 敏锐 触觉 和 精致 艺术 感 。 充满 了 低调 而 闪耀 的 未来 感 光芒 。 罗马 鞋 在 今年 夏季 不用 多 说 ， 已经 到 了 几乎 人手 一双 的 地步 了 。 而 这 双 Anna   Sui 的 亮 蓝色 镂空 骨架 角斗士 靴 ， 一定 会 让 你 眼前一亮 。 与众不同 的 色彩 ， 出 跳 却 不 出格 ， 亮 蓝色 与 红色 相得益彰 。 并且 整双鞋 都 是 采用 了 整块 皮革 镂空 切割 而成 的 。 Givenchy   09 推出 了 一款 金属 的 蝴蝶结 领结 ， 融合 了 设计师 对于 哥特 精神 的 热衷 。 灵感 源于 旧时代 的 美国 西部 ， 用 金属 的 打造 ， 呈现出 了 十足 的 未来主义 面貌 。 搭配 衬衫 或者 有领 连衣裙 可以 增添 一份 与众不同 的 华丽 。 
 时尚 	 组图 ： 俄罗斯 IT   girl   娇小 身材 百变 混 搭 导语 ： Miroslava   Mikheeva - Duma ， 你 会 说 从来 没 听 过 这 名字 ！ 这 果然 是 个 读图 时代 ， 看到 她 的 街 拍照片 ， 你 一定 会 叫 道 ： 哦 ~ 原来 就是 她 ！ 频繁 出现 在 欧美 街 拍 博客 中 ( 尤其 是 街 拍王 The   Sartorialist ， 法国 街 拍 博客 GaranceDore ) ， 每次 出现 都 令人兴奋 ， 不仅 衣服 多多 ， hermes 多多 ， 风格 也 多多 ！ 来自 俄罗斯 的 她 身材 娇小 ， 长着 很 不 俄罗斯 的 面孔 ( 具体 国籍 不详 ) ， 她 的 搭配 时而 似多金 贵妇 ， 时而 像 十六七岁 的 时髦 小姑娘 ， 时而 流露出 香浓 的 法国 风情 ， 时而 又 冷酷 不羁 ..... 对 与 不同 类型 风格 服饰 的 把握 令人 着迷 ！ 但 你 依然 能 从 她 众多 搭配 照中 ， 找到 一份 属于 她 的 时尚 基调 。 秘密 就 在 她 那 含蓄 低调 的 面庞 与 举止 中 ， 令 我 认为 她 始终 的 优雅 的 ， 无论 身着 破洞 牛仔裤 还是 豹纹 围巾 ， 她 的 优雅 精致 令 她 就是 那样 独特 ！ 据悉 Miroslava   Mikheeva - Duma 时任 俄罗斯 的 Harper ' sBazaar 的 时装 编辑 ，   主要 担任 相关 events 的 策划 及 统筹 ， 据 她 和 ParisHilton 的 合照 推测 她 的 身高 大概 在 5 ' 1 " — 5 ' 3 " ( 155cm — 160cm ) ，   年龄 大概 是 24 - 25 岁 ，   已婚 。 出 生于 俄罗斯 一个 富裕 家庭 ， 丈夫 也 是 俄罗斯 地位 显赫 的 人物 ， 难怪 乎 她 拥有 那么 多令 时尚 迷 疯狂 的 东东 ！ 包括 下面 你 会 看到 的 Balmain 牛仔 夹克 ， 超大 的 鳄鱼皮 Hermesbirkin ！ 身高 不高 ， 用 腰带 、 高跟鞋 打造 比例 ， LV 的 豹纹 围巾 可以 搭配 得 很潮 ， 也 可以 像 Miroslava   Mikheeva - Duma 这样 只是 时髦 的 点缀 ， 整体 依然 优雅 高贵 。 略为 能 窥 到 一点 厚底 高跟鞋 ， 看着 比例 拉伸 得 ！ 这件 Chanel 走秀款 长 马甲 被 她 穿 出 了 自己 的 style 。 
 时尚 	 组图 ： 女星 模特 礼服 滑落 走 光   肩带 怎么 总掉 导语 ： 漂亮 的 女星 们 在 公众 场合 经常 会 发生 的 意外 ， 身穿 漂亮 高贵 的 礼服 ， 却 偏偏 一不小心 就 露出 肩带 万分 尴尬 ； 也 有 的 女星 为 吸引 眼球 ， 故意 滑 下 肩带 ， 露出 香肩 以展 其 性感 魅力 。 
