游戏 	 经典 无法 复制 ! 《 神鬼 寓言 3 》 PC 版 评析 《 神鬼 寓言 3 》 在 一个 异彩纷呈 的 虚拟世界 ， 人类 在 电脑 治下 民主 共存   --   再 没有 什么 比 这 更 能 激发 想象 的 火花 了 。 我 的 一个 小巧玲珑 的 世界 ， 我 可以 予取予求 。 力量感 在 我 周身 涌起 ， 因为 这 结果 完全 由 我 来 主宰 。 若 是 不想 眼看 着 那 帮 狼 人们 凌虐 镇子 ， 我 或者 施法 送 出 火球 ， 或者 挥舞 宝剑 ， 怎样 都 能 拯救 世界 。 我 也 可以 将 镇子 寻求 保护 的 一丝 光芒 熄灭 干净 ， 看着 怪物 们 把 尖叫 的 无辜 百姓 给 撕成 碎片 。 这些 方面 ， 《 神鬼 寓言 3 》 做 得 可圈可点 ， 但是   --   太 罕见 了 。 在 阿尔比 昂 大陆 最新 的 故事 里 ， 纵然 Lionhead 工作室 用 令人 荡气回肠 的 道德 抉择 设置 了 无数 奇思妙想 和 激动 时刻 ， 它们 却 被 深埋在 了 一堆 毫不 丰满 的 人物形象 、 冗长 的 故事 和 狗血 情节 里 。 如果 你 从来 没 玩儿 过 《 神鬼 寓言 》 ， Xbox - 360 独占 的 《 神鬼 寓言 2 》 也 错过 了   --   没关系 的 ， 别 担心 为了 了解 《 神鬼 寓言 3 》 而 做好 功课 的 事儿 。 所有 需要 你 知道 的 ， 开篇 全 交代 了 ： 国王 是 个 恶棍 ， 需要 被 干掉 。 并 不是 遵循 着 最初 的 故事 ， 总之 我   --   就是 主角 ， 从 城堡 里 跑 了 ， 混迹 市井 之中 ， 在 阿尔比 昂 这个 奇妙 的 大陆 中 徘徊 ， 以期 攒足 人气 资本 ， 把 国王 搞 下来 ， 我 自己 坐 这 把 交椅 。 《 神鬼 寓言 3 》 所 耍 的 手段 在于 ， 并 不是 我 戴 上 王冠 就 终章 了 。 那些 我 帮过 的 人 ， 我 还 得 给出 承诺 来 ； 一旦 取得 王位 ， 我 得 决定 是 旧账 一律 不认 ， 还是 一律 兑现 。 这 事儿 让 我 真的 很 不 舒服 。 我费大 力气 拯救 出 的 那些 人 ， 敢情 谁 都 不是 跑龙套 的 ， 都 等 着 最后 来 向 我 讨债 ， 都 等 着 我 登基 之后 捎 只 胳膊 带 把手 儿去 拉 他们 一把 。 而且 大多数 的 这种 事儿 都 跟 王国 的 安全 这种 更 高层次 的 要求 是 冲突 的 。 我 不得不 在 践行 诺言 与 保证 阿尔比 昂 的 安全 之间 竭力 求取 平衡 ， 小心翼翼 如履薄冰 。 这种 构思 其实 挺不错 ， 但是 本来 挺 好 的 一件 事儿 ， 感觉 怎么 就 这么 恶心 呢 。 首先 这些 人物 就 有 问题 。 绝大多数 的 这些 角色 都 同样 地 逡巡 。 相比 行动 来说 ， 还是 口音 和 衣着 能 有些 区分 。 置 他们 的 吁求 不顾 而 去 推广 童工 或者 把 妓院 夷为平地 ， 我 这 是 多么 撕心裂肺 的 抉择 啊 ！ 除了 我 的 导师 与 伙伴 沃特 ， 以及 暴君 洛根 之外 ， 剩下 的 角色 全都 一个 心眼儿 ， 根本 就 不 比 普通 的 三维 物件 强 到 哪里 去 。 作为 国王 而 背弃 承诺 之 时 ， 我 真是 毫无 任何 感觉 ， 仅仅 按下 键盘 命令 ， 让 他们 滚 ， 如是 而已 。 穿插在 《 神鬼 寓言 3 》 的 主线 故事 之中 ， 有 很多 招募 的 任务   --   几乎 就 没有 哪个 有意思 。 也 有 分支 任务 ， 可 大部分 都 是 教科书 一般 的 护送 或者 刺杀 任务 。 我 可以 购置 实业 ， 但是 只有 最 基本 的 项目 可 供 自定义 。 一个 饶有趣味 的 帝国 管理 游戏 就 这样 被 剥夺 了 ， 成 了 一个 单调 、 乏味 的 流程 ， 仅仅 在 金钱 进入 游戏 里 钱包 的 那 轻轻 一 声响 更是 放大 了 这 一点 。 我 可以 杀死 或者 审判 阿尔比 昂 的 百姓 ， 但是 与此一道 的 各种 冷笑 话 和 莫名其妙 的 大打出手 ， 完全 把 这种 感受 给 毁 了 。 哪怕 是 黎民 们 当面 儿 大喊大叫 说 我 是 “ 刽子手 ” ， 我 也 照旧 可以 傻乎乎 地 跳舞 、 做 支线 任务 、 去 约会 ， 搞不好 就 结婚 了 ， 还 拖家带口 的 。 游戏 中 的 形成 、 发展 和 关系 的 维系 ， 全 因为 这个 设定 被 束缚 住 了 。 就算 是 《 神鬼 寓言 3 》 在 某些 方面 引入 了 阴谋 和 神秘 的 元素 ， 例如 我 被 丢 到 一个 黑暗 荒芜 的 洞穴 之后 ， 我 不得不 面对 各种 恐惧 ， 这 使得 我 无法 探索 每 一个 角落 。 恐惧 在 这个 大陆 上 是 最 强大 的 邪恶 ， 而且 大约 会 在 游戏 进程 的 三分之二 处 出现 ， 而且 仅仅 会 遭遇 几次 而已 。 游戏 给 人 的 感觉 就是 完成度 不高 ， 而且 赶工 迹象 明显 。 寻找 游戏 中 的 收集 元素 、 参与 小鸡 快 跑 比赛 、 镇压 地 精 等等 事情 都 让 人 很 难 一直 保持 兴趣 。 而 当 我 最终 坐 上 王座 之后 ， 《 神鬼 寓言 3 》 所 能 提供 的 选择 少得 可怜 。 还好 《 神鬼 寓言 3 》 有 一些 时尚 和 幽默 。 有些 台词 写得 还是 非常 有意思 的 。 虽然 这样 的 台词 对 塑造 人物 没有 任何 意义 ， 但是 会 让 你 一直 一直 笑 。 阿尔比 昂 仍然 是 个 美丽 的 地方 ， 而且 角色 模型 、 动画 和 环境光 跟随 构造 除了 这个 美丽 的 世界 。 从 墓地 的 薄雾 到 荒漠 的 午后 阳光 ， 这样 一个 充满生机 的 地方 非常 令人 赞叹 。 配音 做 的 很 专业 。 任务 繁多 ， 讲述 了 一个 宏大 的 故事 ， 而且 还有 很多 娱乐 元素 ， 不过 所有 这些 都 相互 孤立 ， 让 本该 成为 一款 佳作 的 《 神鬼 寓言 3 》 就 这样 沦为 了 一款 毫不 出彩 的 作品 。 战斗 过程 令人兴奋 ， 但是 缺乏 打击 感 。 由于 战斗 过程 的 乏味 ， 所以 战斗 无法 使 玩家 的 注意力 从 游戏 剧情 和 肤浅 的 人物 问题 上 转移 开 。 格斗 武器 ， 枪支 和 魔法 本质 上 来说 都 是 一样 的 。 基本上 都 是 闪躲 和 攻击 ， 这样 的 方法 可以 用来 对付 所有 遇到 的 敌人 。 说实话 ， 这样 的 战斗 系统 着实 令人 失望 。 武器 升级 所 带来 的 外观 和 属性 上 的 改变 让 我 切实 感受 到 了 游戏 的 进程 ， 不过 由于 战斗 系统 的 失败 ， 这样 的 设定 也 让 人 感到 无聊 。 整体 感觉 6.5 分 ： 漂亮 的 界面 ， 不过 与 PC 平台 毫不 相称 。 杂乱无章 的 故事 与 游戏 节奏 画面 表现 7.5 分 ： 一些 很棒 的 动画 和 特效 ， 还有 多彩 和谐 的 艺术风格 声效 表现 8.0 分 ： 令人振奋 的 音乐 ， 配音 表演 相当 完美 上 手 体验 6.0 分 ： 有 很多 可以 做 的 内容 ， 但 只有 很小 部分 令人兴奋 。 单调 的 战斗 ， 重复 的 任务 ， 只有 很小 部分 值得 情感 投入 耐 玩性 5.5 分 ： 你 或许 从 合作 游戏 和 大量 的 收集 感到 愉悦 ， 但 这 也 无法 更改 核心 游戏 体验 总评 6.0 分 ： 还行 吧 
 游戏 	 《 暗影 诅咒 》 中文 解说 试玩 视频 欣赏 5 月 19 日 ， 巴哈姆 特 放出 了 EA 即将 发售 的 动作游戏 《 暗影 诅咒 ( Shadows   of   the   Damned ) 》 的 试玩 体验 视频 ， 并且 试玩 编辑 以 中文 从 旁 解说 ， 玩家 们 可以 通过 这 段长 达 12 分钟 的 中文 体验 视频 了解 游戏 的 大致 面貌 。 《 暗影 诅咒 》 由 EA 发行 ， 而 负责 研发 的 是 来自 日本 的 Grasshopper   Manufacture 工作室 ， 该游戏 的 制作 人为 《 生化危机 》 系列 之父 三上 真司 ， 音乐 作曲 为 《 寂静岭 》 的 声音 总监 及 作曲家 山冈 晃 ， 阵容 非常 豪华 。 本作 可以 说 是 结合 了 《 生化危机 》 系列 和 《 寂静岭 》 之 所长 。 在 《 暗影 诅咒 》 中 ， 玩家 将 追随 恶魔 猎人 贾 西亚 ( Gracia   Hotspur ) 的 脚步 深入 超乎 想象 的 变异 地狱 ， 拯救 他 的 爱人 。 玩家 可以 运用 光明 力量 ， 并 在 能 幻化成 各式 邪恶 武器 、 曾 沦为 恶魔 的 强生 ( Johnson ) 协助 下 ， 击败 黑暗 大军 。   《 暗影 诅咒 》 融合 了 超现实 的 精彩 动作 、 夸张 的 头目 战场 面 、 疯狂 难解 的 谜团 、 稀奇古怪 的 敌人 、 惊心动魄 的 时刻 以及 怪诞 病态 的 艺术风格 ， 带来 憾 人 的 独特 游戏 体验 。 《 暗影 诅咒 》 预计 将 于 6 月 21 日 上市 ， 将 推出 PC 、 X360 和 PS3 版 。 编译 / 熊猫 
 游戏 	 《 死亡 之 岛 》 新 视频 公布   年内 上市 5 月 19 日 ， Techland 公布 了 研发 中 的 丧尸 主题 动作游戏 《 死亡 之 岛 ( Dead   Island ) 》 的 宣传 视频 ， 以及 游戏 截图 。 《 死亡 之 岛 》 由 波兰 的 游戏 开发 公司 Techland 开发 ， Deep   Silver 负责 发行 。 这 段 视频 将 带领 玩家 更 仔细 地 了解 这个 原本 是 热带 渡假 小岛 的 乐园 ， 如何 变成 了 血淋淋 的 ? 尸之岛 。 游戏 场景 是 以南 太平洋 渡假 小岛 Banoi 为 设定 ， 这里 是 一个 天堂 般的 孤岛 ， 某 一天 岛上 突然 爆发 僵尸 潮 。 僵尸 具备 超级 体能 及 嗜血 本能 ， 玩家 作为 仅存 的 正常 族群 中 的 一员 需 四处 搜寻 前人 留下 的 装备 和 物资 以 夺得 生机 逃出 此地 。 《 死亡 之 岛 》 采用 开放式 世界 设计 ； 游戏 主要 描述 渡假 小岛 突然 遭遇 不 知名 的 病毒 大量 扩散 ， 岛上 民众 互相 感染 变成 ? 尸 。 玩家 将 扮演 幸存者 ， 在 这座 “ 死亡 之 岛 ” 上 找出 求生 之 路 。 《 死亡 之 岛 》 将 于 2011 年内 上市 ， 将 推出 PC 、 X360 和 PS3 版 。 编译 / 熊猫 
 游戏 	 《 超级 街霸 4 ： 街机版 》 配置 需求 公布 耐心 等待 了 《 超级 街霸 4 》 PC 版 很 久 的 玩家 总算 熬出头 了 ， 游戏 的 最新 版本 《 街机版 ( Arcade   Edition ) 》 已 在 Steam 平台 展开 预售 。 Capcom 此前 确认 ， 游戏 将 于 7 月 通过 数字 方式 发售 ， 售价 为 39.99 美元 。 主机 版 的 《 超级 街霸 4 街机版 》 将 作为 《 超级 街霸 4 》 的 补充 包在 6 月 登陆 Xbox   360 和 PS3 。 售价 为 1200 微软 点数 或 14.99 美元 。 光碟 版 售价 39.99 美元 。 下面 是 PC 配置 需求 ： 最低 配置 ： 系统 ： Windows   XP   /   VistaCPU ： 英特尔 奔腾 4   2.0   GHz 内存 ： 1   GB 内存 DX ： 支持 DirectX   9.0 c / Shader3.0 显卡 ： NVIDIA   GeForce   6600 或 更好 ( 除了 NVIDIA   GeForce   7300 ) 显存 ： 256MB 或 更好 ( 运行 时 不是 主 内存 共享 ) 硬盘 ： 4.5   GB 可用 硬盘空间 声卡 ： DirectSound ， DirectX9.0 c 兼容 音频 推荐 配置 ： 系统 ： Windows   VistaCPU ： Intel   Core2   2.0   GHz 或 更 高 内存 ： 2   GB 内存 DX ： 支持 DirectX 的 9.0 c / Shader3.0 显卡 ： NVIDIA   GeForce   8600 或 更 高 显存 ： 512MB 或 更 高 ( 运行 时 不是 主 内存 共享 ) 硬盘 ： 4.5   GB 可用 硬盘空间 声卡 ： DirectSound ， DirectX9.0 c 兼容 的 音频 其他 要求 ： 在线播放 软 安装 和 登录 到 Windows   Live 
 游戏 	 不看 后悔 ! 《 愤怒 的 小鸟 》 真人版 视频 当 看过 真人版 《 俄罗斯 方块 》 之后 ， 我 就 在 想 何时能 看到 真人版 《 愤怒 的 小鸟 》 ， 可令 我 纠结 的 是 当 真人版 《 愤怒 的 小鸟 》 真的 上演 的 时候 ， 谁 扮演 小鸟 ， 谁 又 是 小猪 ？ 小鸟 如何 出击 ， 小猪 又 如何 躲避 ？ 近日 ， 德国 电信 和 愤怒 小鸟 开发 公司 Rovio 共同 举办 了 真人版 《 愤怒 的 小鸟 》 活动 ， 在 由 专门 乐团 演奏 《 愤怒 的 小鸟 》 的 歌声 中 揭开 帷幕 ， 即使 活动 没有 游戏 中 那么 刺激 泄愤 ， 现场 观众 依然 欢呼雀跃 。 活动 过程 中 破坏 场景 过于 惊爆 ， 我们 也 未能 感受 到 真实 木头 脆裂 的 效果 ， 何况 愤怒 的 小鸟 如何 拼命 撞击 ， 绿皮 猪 如何 誓死 躲避 都 未能 真正 上演 ， 所以 小编 的 纠结 仍 将 延续下去 。 不过 话说回来 ， 乐队 的 演奏 还是 很 给 力 的 。 
 游戏 	 仙剑 五 关键词 疑 被 恶意 购买   山寨 横行 【 新浪 游戏 专稿 ， 转载 请 注明 来源 】 国产 单机 大作 仙剑 奇侠传 五 即将 于 7 月 7 日 正式 发售 ， 近日 官方 不断 展示 游戏 的 一些 细节 内容 ， 今天 又 放出 了 战斗 截图 。 就 在 玩家 期盼 游戏 发售日 正式 到来 之 时 ， 微博上 却 爆料 ， 仙剑 奇侠传 五官 网在 某 搜索 上 突然 消失 ， 冒名顶替 者 则 是 一款 页 游 和 盗版 网站 。 日前 ， 仙剑 奇侠传 五百 游官 网 正式 上线 ， 游戏 制作方 北京 软星 也 在 不断 放出 游戏 中 的 一些 内容 ， 近日 更新 了 几位 主角 武器 设计图 。 （ 相关 阅读 ： 仙剑 五 主角 武器 公布   出现 骨器 与 “ 彩蛋 ” ） 就 在 玩家 等待 仙剑 奇侠传 五 发售 到来 之 时 ， 仙剑 奇侠传 五 制作 人 姚壮宪 发表 微博称 ： 接到 玩家 反映 ， 百游 和 软星 官网 在 某 搜索 上 不知 为何 突然 消失 了 ， 搜索 《 仙剑 奇侠传 5 》 一看 ， 排 第一个 的 是 某款 和 仙剑 完全 无关 的 页 游 ， 第二个 是 仙剑 奇侠传 5 破解版 下载 。 难道 这 世道 只 让 山寨 和 盗版 能活 吗 ？ 午饭 吃不下 了 。 （ > > > 关注 姚壮 宪微博 < < < ） 有 人士 分析 称 ， 怀疑 仙剑 奇侠传 五 的 关键词 被 恶意 购买 。 仙剑 奇侠传 五倍 受 玩家 关注 ， 某些 无良 山寨 游戏 厂商 早已 放出 山寨 产品 ， 而 盗版 也 虎视眈眈 。 对于 国产 单机 来说 ， 仙剑 品牌 应当 受到 保护 。 （ 编辑 ： Walok ） 更 多 游戏 资讯 请 查看 ： 新浪 游戏 媒体 之声 > >   /   新浪 游戏 产业 资讯 > >   /   精彩 专题 > > 
 游戏 	 女 玩家 鼠标 绘画 DOTA 英雄   网友 留言 鼓励 文 / 弥可 【 新浪 游戏 专稿 ， 未经 授权 请勿 转载 】 近日 ， 一位 女 玩家 在 某 游戏 论坛 上 发表 了 一篇 名为 《 看看 我用 鼠标 画 的 DOTA 英雄 》 的 帖子 ， 贴出 了 自己 使用 鼠标 在 XP 系统 自带 的 画图 工具 上 绘画 的 11 位 魔兽 DOTA 英雄 。 帖子 受到 了 众多 网友 的 关注 ， 大家 纷纷 留言 表示 鼓励 ， 称 虽然 作品 不是 很 精美 ， 但 仍然 “ 精神可嘉 ” 。 这位 名为 “ 肉薇 ” 的 女 玩家 在 帖子 中称 ： “ 没 得 工具 ， 有 也 不会 用 ， 就 一个 鼠标 ， 在 XP 自带 的 画图 软件 上画 的 。 不是 专业人士 。 除了 小学 画过 画 以外 ， 就 这次 了 。 请 嘴 下 留 ( 情 ) 。 ” 随即 陆续 帖 出 了 自己 所画 的 11 位 DOTA 英雄 ， 并 追问 ： “ 难道 很丑 么 ？ 没人 看 那 我 就 匿 了 。 ” 而 在 短暂 的 等待 之后 ， 便 有 很多 网友 前来 观看 并 发表 了 感想 ， 如 ： 网友   iba29 ： 比较 粗糙 ， 支持 下 。 网友   据说 昵称 都 被 注册 了 ： 真 NB 。 用 鼠标 能 画成 这样 很 不错 了 。 网友   okwei8848 ： 很 不错 ， 有 创意 ， 支持 下 ！ 网友   乡下 大脸 猫 ： 哈哈哈 ！ 鼠绘 不错 了 ， 还 蛮 可爱 的 。 网友   tksonydt ： 要火 啊 ！ ！ ！ ！ 网友   飞翔 的 猫 → 精装版 ： 精神可嘉 。 网友   达斯汀 克莱尔 ： 很 好 很 好 ~ ~ 网友   天线 无双 ： 血法 和 剑圣 很 传神 啊 ！ 网友   342335160 ： 斧王 咋 有点像 葫芦娃 啊 ？ 网友   小幅度 随风倒 ： 斧 王太 霸气 了 。 网友   绿凰 足足 ： 不错 哈 ， 虽然 有点 丑 ， 不过 有 的 还是 有点 神似 ~ 网友   左丘亮 亮 ： 你 为 dota 事业 做 贡献 了 。 网友   只是 在 游荡 ： 不错 ， 还 能 认出来 。 而 在 与 留言 网友 的 互动 中 ， 肉薇 美眉 更是 补充 说 到 ： “ BF ( 男朋友 ) 他 还 一直 说 我 画 的 像 弱智 ， 呵呵 。 ” “ 那个 画 的 最丑 的 本来 是 别人 要 我 画个 他 最 爱 的 性感 女王 ， 结果 悲剧 了 … … ” “ 原谅 我 ， 鼠标 真的 不好 画 。 ” “ 其实 还 画 了 个 沉默 。 但是 太丑 了 ， 就 不传 了 ， 自行 想象 。 ” “ 所有 的 英雄 来看 ， 找到 自己 的 都 哭 了 。 ” 而 当 有 网友 评论 “ 画得 腰 湿 了 ( 大概 是 指 不 好看 — — 小 编注 ) ” 时 ， 肉薇 美眉 竟然 回复 道 ： “ 敢 说 不 好看 ， 我 等 会 画个 你 。 ” 非常 可爱 。 各位 玩家 们 ， 你们 能 认出 这位 游戏 美眉 画 的 DOTA 英雄 吗 ？ ( 答案 ： 冰女 、 屠夫 、 火女 、 召唤 、 莱恩 、 斧王 、 死灵 、 痛苦 、 敌法 、 兽王 、 船长 。 ) 更 多 游戏 资讯 请 查看 ： 新浪 游戏 媒体 之声 > >   /   新浪 游戏 产业 资讯 > >   /   精彩 专题 > > 
 游戏 	 美媒 关注 光荣 使命   称 游戏 以 美军 为 靶子 【 新浪 游戏 专稿 ， 转载 请 注明 出处 】 日前 ， 国内 首款 军事 题材 射击 游戏 曝光 ， 引起 了 广泛 的 重视 ， 这款 由 军方 与 无锡 巨人 开发 的 游戏 主要 用于 部队 的 对抗 训练 。 而 这款 游戏 也 引起 了 外国 媒体 的 关注 ， 近日 美国 《 连线 》 杂志 对 这款 游戏 进行 了 详细 报道 ， 并称 “ 光荣 使命 ” 似乎 是 美国 一款 类似 军事 游戏 的 “ 仿造品 ” ， 报道 还 认为 在 游戏 中不应 将 美军 作为 “ 对抗 ” 目标 。 ( 相关 阅读 ： 国内 军事 游戏 《 光荣 使命 》 曝光   用于 部队 训练 ) 美国 《 连线 》 杂志 的 一片 报道 中 指出 ， 中国 这 款 军事 题材 射击 游戏 “ 仿造 ” 了 有 美国 军方 开发 的 射击 游戏 “ 美国陆军 ” 。 “ 美国陆军 ” 于 2002 年 研发 成功 ， 主要 作为 招募 士兵 的 征兵 广告 ， 这 两款 游戏 中 都 是 以 模拟 基础 培训 开始 ， 体验 者 将 会 亲历 虚拟 的 战场 。 另外 报道 中 还 指出 “ 光荣 使命 ” 的 战场 中 的 敌人 “ 似乎 是 美国 军方 ” 。 在 展示 的 视频 中 ， 有 一幕 美国 制造 的 “ 阿帕奇 ” 武装 直升机 坠毁 的 场景 。 美国 一些 观察家 表示 出 不满 ， 认为 真实 战争 与 单纯 的 模拟 不要 混为一谈 。 这 款 有着 与 美国 不同 的 价值观 的 视频 游戏 “ 有 可能 会 误导 中国 接受 培训者 认为 美国 注定 就是 中国 的 敌人 ， 并且 不仅仅 是 在 数字化 战场 中 。 ” 不过 目前为止 ， 还 没有 具体 消息 证实 游戏 中 对 立方 为 “ 美军 ” 。 而 在 美国 游戏 开发商 开发 的 FPS 游戏 中 ， 一些 定义 在 架空 的 现代 的 战争 题材 游戏 往往 需要 一个 “ 坏人 ” ， 扮演 这个 “ 坏人 ” 的 多 为 中东国家 军队 ， 俄罗斯 与 中国 军队 也 在 一些 游戏 中 出场 ， 比如 《 战地 2 》 ， 《 闪点 行动 ： 红河 》 等等 。 国内 有 玩家 对此 进行 反驳 ： 习惯 了 让 别人 扮演 “ 坏人 ” ， 为何 轮 到 自己 演 “ 坏人 ” 时 如此 牢骚 ？ ( 编辑 ： Walok ) 更 多 游戏 资讯 请 查看 ： 新浪 游戏 媒体 之声 > >   /   新浪 游戏 产业 资讯 > >   /   精彩 专题 > > 
 游戏 	 《 古墓 丽影 9 》 首张 屏摄 画面 公布   将 出展 E3Crystal   Dynamics 工作室 日前 在 《 古墓 丽影 》 新作 官方 博客 公开 了 该作 的 首张 屏摄 游戏 画面 ， 来自 该作 参展 本届 E3 的 试玩版 。 《 古墓 丽影 》 新作 由 Crystal   Dynamics 工作室 制作 ， Square   Enix 发行 ， 采用 《 古墓 丽影   传奇 》 的 Crystal 引擎 开发 ， 登陆 PC ， Xbox360 和 PS3 平台 。 
 游戏 	 《 暗黑 破坏神 3 》 三 工匠 之一 玄秘 工匠 介绍 玄秘 工匠 ( Mystic ) 是 暗黑 3 中 工匠 系统 的 三个 工匠 之一 。 和 铁匠 以及 珠宝 匠 一样 ， 玄秘 工匠 在 车队 区域 出现 ， 负责 各种 NPC 商人 的 工作 ， 以及 物品 出售 和 制造 。 玄秘 工匠 ： 游戏 中 所有 工匠 在 游戏 的 剧情 和 任务 里 都 有 出现 ， 哪怕 是 在 玩家 完成 了 他们 的 第一 任务 并 加入 之后 ， 玩家 可以 在 游戏 中 从 故事情节 的 角度 看到 他们 的 发展 。 · 玄秘 工匠 的 功能 玄秘 工匠 负责 多种 和 装备 相关 的 功能 ， 制造 法杖 和 魔棒 ， 鉴定 物品 等等 。 官方 在 车队 常见问题 回答 中是 这样 解释 的 。 “ 玄秘 工匠 可以 制造 卷轴 、 药水 、 魔法 武器 、 技能 符文 和 护身符 ， 当然 还有 给 装备 附魔 的 功能 。 ” 和 其他 工匠 一样 ， 玄秘 工匠 可以 通过 配方 制造 物品 。 魔法 和 稀有 的 法杖 和 魔棒 都 是 通过 她 制造 的 。 玄秘 工匠 还 能 通过 神秘 仪式 鉴定 装备 。 因为 迪卡 · 凯恩 还 在 游戏 里 ， 所以 玄秘 工匠 是否 为 唯一 鉴定 途径 尚未 得知 ， 也许 凯恩 觉得 自己 太老 了 该 退居二线 了 ？ · 玄秘 工匠 的 货车 2010 年 暴雪 嘉年华 的 庇护所 讲座 部分 上 展示 了 她 的 货车 原画 。 这 幅 原画 布满 奇怪 器官 的 外貌 ， 和 铁匠 那种 非常 矩型 的 常规 造型 的 货车 截然不同 。 等级 提高 之后 她 也 会 变换 外貌 ， 在 她 的 货车 附近 摆放 的 那些 法杖 和 物品 的 造型 也 会 更加 漂亮 和 奇幻 。 · 玄秘 工匠 的 界面 所有 的 工匠 都 有 自己 风格 的 界面 。 窗口 和 控制 方法 是 一样 的 ， 但是 背景 和 小 窗口 都 是 不 一样 的 ， 以 区分 他们 的 功能 。 铁匠 的 界面 已经 在 截图 里 见 过 了 ， 木头 和 金属制 的 框架 以及 铁毡 工具 。 玄秘 工匠 的 界面 在 左侧 的 截图 里 ， 来自 于 2010 年 暴雪 嘉年华 的 庇护所 讲座 部分 。 看 的 不是 很 清楚 ， 但是 你 可以 看到 非常 新世纪 风 的 部分 ， 有 很多 贝壳 和 小 宝石 点缀 ， 还有 一根 鸟羽 。 · 玄秘 工匠 的 故事 玄秘 工匠 的 内容 目前 知道 的 甚少 。 甚至 连 名字 都 不 知道 。 当然 有人 马上 想到 了 艾达莉亚 ( Adria , 暗黑 1 里 贩卖 魔法 物品 的 女巫 ) ， 因为 多方面 确认 她 会 在 暗黑 3 里 回归 ， 也 可能 是 一位 玄秘 工匠 ， 但 具体内容 未知 。 另外 在 德国科隆 的 Gamescom 游戏 展上 发 回来 的 内容 ， 引起 了 很大 的 争议 。 因为 发布 的 内容 里 使用 的 是 “ 他 ” ， 可能 只是 翻译 错误 ， 或者 误 听 。 目前 由于 还 在 开发阶段 ， 尚未 知道 玄秘 工匠 的 故事 或者 任务 。 Jay   Wilson   所 指出 的 ‘ 他 ’ 可能 就是说 的 玄秘 工匠 ， 不过 倒 是 看到 了 艾达莉亚 的 回归 。 ” 
 游戏 	 《 暗黑 破坏神 3 》 中国 随 全球 同步 发售 一个 很 偶然 的 机会 ， 凯恩 之角 的 管理人员 和 暴雪 / 威望 迪 的 一位 高层人士 进行 了 一次 短暂 的 交流 ， 其中 一些 内容 非常 给力 ， 并且 确实 和 我们 所 掌握 的 中国 地区 的 某些 情况 吻合 ： > > 《 暗黑 破坏神 3 》 逼真 开箱 影片 流出 > > 《 暗黑 破坏神 3 》 三 工匠 之一 玄秘 工匠 介绍 一 ： 暗黑 破坏神 3 的 第一个 内部测试 版本 已经 在 早先 发 往 全球 的 各 分公司 开始 进行 测试 。 目前 全球 各 分公司 的 员工 将 根据 各自 的 工作 性质 ， 分批 分 先后 的 开始 试玩 暗黑 3 。 ( 注 ： 暴雪 中国 分公司 包含 在内 。 ) 二 ： 暗黑 破坏神 3 的 多 语言 版本 在 同步进行 中 ， 各地 的 语言 版本 在 翻译 制作 中 。 ( 注 ： 大陆 地区 的 翻译 应该 是 由 暴雪 中国 在 进行 制作 。 ) 三 ： Beta 日期 现在 还 没有 最后 确定 ！ 因为 在 这次 公司 内部测试 结束 后 ， 会 对 游戏 进行 一次 修补 ， 然后 开始 进行 下 一次 的 公开 测试 ， 就是 我们 所 知道 的 三季度 的 测试 。 但是 目前 美国 总部 的 内部测试 基本 完毕 ， 只是 欧洲 和 亚洲 的 测试 因为 开始 较晚 ， 目前 还 没有 结束 。 四 ： 给 我们 透露 此 消息 的 人 还 没有 玩上 暗黑 3 ， 因为 他 一直 在 出差 ( 注 ： 所以 我们 得到 了 这些 消息 ， 呵呵 。 ) 五 ： 关于 发售 ， 这位 高层 非常 肯定 的 说 ， 暗黑 3 会 全球 同步 发售 ！ ！ ！ 注意 ， 是 全球 同步 ， 各种 语言 版本 。 以上 是 我们 从 交流 中 得到 的 消息 ， 其中 前 几条 在 之前 我 曾经 在 论坛 中 提到 过 ， 所以 可以 看出 ， 这位 高层 所说 的 内容 基本 是 属实 的 ！ 这 就 非常 让 人 期待 了 ， 毕竟 如果 中文版 可以 同步 面市 的话 ， 会 让 我们 暗黑 迷 感到 异常 兴奋 。 关于 消息来源 和 具体 人 名 ， 请 不要 打听 了 ， 因为 这是 绝对 保密 的 。 如果 过 两天 这个 新闻 不见 了 ， 也 请 不要 见怪 ！ 
