家居 	 物业 交 地产 公司   以 月租 10 万英镑 放盘 一年 ( 图 )       丹尼尔 明年 9 月 担纲 演 百老汇 剧 《 恋马狂 》 时 , 正好 方便 落脚 , 但 他 似乎 并非如此 打算 , 因为 他 已 把 物业 交 地产 公司 , 以 月租 10 万英镑 ( 150 万 人民币 ) 放盘 一年 。 租客 将 可 享用 会 所 设施 , 包括 泳池 和 蒸气 浴室 , 以及 酒店 公寓 服务 。 
 家居 	 特殊 的 书房   阁楼 作为 书房 很 僻静 ( 图 ) 4 . 特殊 的 书房 当 书房 不是 一个 专门 的 房间 时 ， 书房 会 被 安排 在 一些 特殊 的 空间 ， 甚至 开辟出来 和 其他 功能 并用 。 比如 ， 阁楼 作为 书房 很 僻静 ， 甚至 可以 作为 一个 很 自我 的 区域 ， 连 卧室 的 功能 也 含 在 其中 。 或者 有些 人 把 阳台 的 空间 封 起来 做 一个 小 书房 ， 不但 自然光 充足 ， 而且 便于 休息 远眺 。 还有 的 人 把 书房 和 影音 室 结合 起来 ， 看 电影 听 音乐 和 工作 各自 撑起 了 半边天 。 所以 书房 的 空间 也 是 个性 的 空间 ， 不必 太 拘泥 规则 。 
 家居 	 独特性 以及 所 它 具有 新奇 的 功能 ( 图 ) 诡计 * 玩乐 风潮 消费者 挑选 新 增加值 产品 的 目标 越来越 趋向于 产品 的 独特性 以及 所 它 具有 新奇 的 功能 ， 价值 等式 已经 从 价格 + 质量 转变 为 价格 + 质量 + 设计 ， 更 人性化 的 设计 与 功能 成为 人们 内心深处 终极 的 需求 。 设计 大师 迈克尔 格雷夫斯 说 ： “ 我们 想 制造 跨越 时间 的 东西 ， 人们 触摸 到 的 东西 ， 用眼 、 用手 … … 我们 在 人类 环境 改造 学 和 设计 上花 更 多 的 时间 来 改进 它们 ， 设计 和 功能 并重 ， 令 我们 的 产品 既 好 用 又 实惠 ， 而且 完美 。 ” 
 家居 	 独特 而 又 雅致   外面 还加 了 个 蘑菇 ( 图 ) 如果 你 怕 台灯 被 风 吹灭 的话 ( 当然 这是 不太可能 的 ) ， 那 就 来 看看 这个 “ 蘑菇 台灯 ” 。 这盏 台灯 灯 看上去 独特 而 又 雅致 ， 外面 还加 了 个 蘑 
 家居 	 独立式 门厅 与 客厅 相对 独立 ( 图 ) 玄关 设计 实用 案例 案例 一   简易 衣帽间 独立式 门厅 与 客厅 相对 独立 ， 在 这个 自成一体 的 小 空间 里 ， 适合 打造 一个 别致 、 艺术 的 简易 衣帽间 ， 在 门厅 的 墙面 可以 根据 家庭成员 的 高度 ， 制作 一个 墙面 隔板 或者 线条 简易 的 3 - 4 格 长条形 柜子 ， 柜子 无需 柜门 。 
 家居 	 玄关 作为 进入 居室 的 第一道 风景 ( 图 ) 玄关 作为 我们 进入 居室 的 第一道 风景 ， 虽 是 居室 空间 中 狭小 的 一角 ， 却 对 整个 居室 的 风格 起着 至关重要 的 作用 ， 对 玄关 最 行之有效 的 美化 方法 就是 通过 后期 购买 家具 和 饰品 来 实现 。   
 家居 	 玄关 壁面 的 陶沙 质感   连结 了 海边 城市 ( 图 ) 玄关 望 向 客厅 玄关 壁面 的 陶沙 质感 ， 连结 了 海边 城市 ， 让 你 一 进门 就 与 拥挤 的 现代 混乱 隔离 ? ! 
 家居 	 玄关 小 细节 让 人 感受 到 时尚 的 品位 ( 图 ) 本 套 样板房 给 展现 了 现代 风格 里 的 奢侈 ， 无论是 色彩 还是 装饰 都 很 有 品位 。 一个 细节 都 一个 亮点 ， 无一 不让 人 感觉 到 它 的 经典 与 时尚 ， 也许 这 就是 现代 生活 所 追求 的 生活 。 
 家居 	 玄关 是 客人 对 一个 家 的 第一印象 ( 图 ) 玄关 是 客人 对 一个 家 的 第一印象 ， 因此 主人 对 这个 区域 也 尤为 重视 。 看似 简单 的 玄关 在 小 细节 上 让 人 感受 到 时尚 的 品位 。 
 家居 	 玄关 的 衣挂 造型 非常 有 特色 ( 图 ) 玄关 的 衣挂 造型 非常 有 特色 ， 床下 的 空间 是 衣帽间 
 家居 	 玄关 设 设计 应 尽量 做到 遮 而 不 死 ( 图 ) 3 .   犹抱琵琶半遮面 玄关 设 设计 应 尽量 做到 遮 而 不 死 ， 即 视觉 上应 感到 通透 ， 切勿 让 人 感到 压抑 。 玄关 相对 于 整个 空间 来说 应是 “ 犹抱琵琶半遮面 ” ， 让 来 人 有 充分 的 想像 和 回味 的 余地 。 
 家居 	 玄关 进来 后   色调 以 白色 为 基础 ( 图 ) 色彩 明艳 而 不 喧闹 , 整体 风格 雅致 清爽 , 给 人 如沐春风 的 感觉 . 对于 喜欢 简约 设计 的 你 , 不妨 借鉴 一下 .   
 家居 	 玄关 隔断 会 有 不同 的 效果 ( 图 ) 不同 材质 的 玄关 隔断 会 有 不同 的 效果 ， 成为 了 玄关 的 别致 风景 。 珠帘 、 屏风 、 鞋柜 ， 都 能 通过 巧妙 的 设计 打造出 不 一样 的 玄关 。 玄关 作为 入门 第一 风景 ， 可 绝对 不能 忽视 的 哦 ， 那 就 来 看看 工薪阶层 喜欢 的 超 省钱 玄关 装修 美图 吧 。 
 家居 	 王艳 北京 豪宅 照片 曝光   毗邻 紫禁城 价值 上 亿 ( 图 ) 王艳 在 北京 的 上 亿 豪宅 ， 其 设施 叫 人 惊叹 。 家居 杂志 中共 刊登 出王艳 豪宅 内 的 空中 花园 、 客厅 、 室内 游泳池 、 健身房 、 卧室 、 饭厅 等 十幅 图片 ， 文中 写道 ： “ 在 空中 花园里 ， 种植 着 落叶 灌木 、 松树 、 大片 的 月季 和 一些 叫 不出 名字 的 花卉 ， 花园 中间 ， 是 连成一片 的 喷泉 。 不远处 玫瑰色 的 紫禁城 ， 是 他们 眼中 的 风景 。 如果 天气 好 ， 王艳会 和 老公 、 孩子 一起 ， 坐在 花园里 一起 喝咖啡 或者 共进 早餐 ， 享受 紫禁城 上空 的 艳阳 。 ” 暧昧 指数 ： 7.5 编者 感言 ： 看来 楼市 “ 深秋 ” 对 “ 晴 格格 ” 的 老公 影响 不 大 ， 至少 夫妻 二人 还有 闲情 雅致 在 紫禁城 里 观花 赏景 。 
 家居 	 王菲 高调 复出   与 李亚鹏 旧宅 新颜 ( 组图 )         从 开发 公司 提供 的 资料 上 记者 了解 到 ， 李亚鹏 和 王菲 的 这 所 婚宅 位于 朝阳区 东郊 的 温榆河 畔 ， 三面 环水 ， 四面 环林 ， 这里 距 首都机场 6 公里 ， 距丽高 王府 只有 两 、 三 公里 。 这座 别墅 虽然 有些 偏僻 ， 但 占地 辽阔 、 绿荫 环抱 ， 别墅 围墙 外有 茂密 的 林荫大道 ， 绿油油 的 庄稼 和 碧波 流淌 的 温榆河 ， 是 北京 一处 难得 的 水岸 园林 。 
 家居 	 玛丽 另外 一个 关注点 是 色彩 ( 图 ) 色彩 打破 想象力 对于 室内装饰 ， 玛丽 另外 一个 关注点 是 色彩 。 在 她家 ， 一 进门 就是 满眼 的 亮 绿色 ， 包围 了 整个 楼梯间 ， 书房 里 绿色 在 延续 ， 到 餐厅 就 变成 了 卡其色 ， 客厅 则 是 巧克力 色 一统 到底 。 “ 绿色 很 好 ， 容易 搭配 ， 与 桃木 饰面 也 很配 。 ” 其实 ， 她 原本 是 拒绝 将 墙壁 刷成 深色 的 ， 因为 房子 本身 采光 不是 很 好 ， 但是 色彩 的 热情 感染 了 她 。 色彩 方案 的 确定 往往 来自 房间 里 的 一幅 画 或者 一块 装饰 地毯 。 其实 ， 颜色 的 确定 往往 是从 一幅 画 或者 一块 地毯 开始 ， 阅读室 的 装饰 就是 围绕 一幅 画 ， 最终 形成 烟灰色 、 白色 与 大 红色 的 对比 。 相反 ， 客厅 的 色系 选择 则 是 源于 地毯 ， 巧克力 色 、 古铜色 和 玫瑰红 混合 在 一起 ， 显得 温婉 而 现代 。 
