时政 	 总指挥 常万全 宣布 神舟 七号 发射成功 总指挥 常万全 宣布 ： 神舟 七号 载人 飞船 进入 预定 轨道 ， 发射 圆满成功 ！ 
 时政 	 我国 在 联合国 发布 千年 发展 目标 进展 报告 新华网 联合国 9 月 24 日电   中国政府 24 日 在 纽约联合国总部 发布 了 2008 年版 《 中国 实施 千年 发展 目标 进展 情况 报告 》 。 中国外交部 副 部长 何 亚非 和 联合国 发展 系统 执行 办公室 主任 、 开发计划署 署长 德尔维 什 共同 出席 发行 仪式 并 致辞 。 何 亚非 表示 ， 中国 将 千年 发展 目标 有机 融入 全面 建设 小康社会 的 发展 规划 中 ， 提前 实现 了 将 贫困人口 减半 和 普及 初级 教育 两项 目标 ， 并 有望 在 2015 年前 实现 所有 目标 。 中国 愿 继续 尽其所能 ， 为 促进 千年 发展 目标 在 全球 的 实现 作出贡献 。 德尔维 什 盛赞 中国 执行 千年 发展 目标 方面 取得 的 成绩 ， 表示 中国 在 消除 贫困 方面 的 努力 为 全世界 消除 贫困 与 饥饿 作出 了 重大贡献 。 联合国 愿 继续 与 中国 加强 合作 ， 推动 千年 发展 目标 如期 实现 。 
 时政 	 我国 审计 机关 近年 移交 逾 万件 经济 案件线索 中新网 9 月 25 日电   据 国家审计署 网站 消息 ： 中国 审计署 审计长 刘家 义 日前 在 非洲 高级 审计 研讨班 上作 主题 发言 时 透露 ， 近年来 ， 中国 审计 机关 向 司法机关 和 纪检监察 部门 移交 经济犯罪 案件线索 1 万多件 。 刘家 义 指出 ， 中国 自 改革开放 以来 ， 一直 努力 建设 一个 法治 、 服务 、 效能 和 责任 政府 。 中国 审计 作为 民主 法治 的 产物 和 推进 民主 法治 的 工具 ， 积极 发挥 审计 监督 作用 ， 促进 政府 管理水平 不断 提高 ， 有效 发挥 了 审计 在 经济社会 运行 中 的 “ 免疫系统 ” 作用 。 这些 作用 表现 在 六个 方面 ： 一是 注重 检查 政府部门 和 国有 金融机构 、 国有企业 等 公营 机构 会计信息 的 真实性 ， 在 会计 领域 打假 治乱 ， 有效 地 维护 了 会计 秩序 ， 也 为 政府 管理 和 决策 提供 了 可靠 的 信息 和 依据 。 二是 注重 检查 法律法规 和 政策措施 的 执行 情况 ， 积极开展 预算 执行 审计 、 稳步 推进 经济 责任 审计 、 加强 财政 专项资金 审计 ， 维护 财经 法纪 ， 推动 国家 政策措施 的 贯彻执行 和 政府部门 规范 管理 、 依法行政 ， 增强 政府 的 执行力 和 公信力 。 三是 注重 揭露 和 查处 重大 腐败 案件线索 ， 推动 政府部门 廉洁 管理 、 维护 社会 公平正义 。 近年来 ， 中国 审计 机关 向 司法机关 和 纪检监察 部门 移交 经济犯罪 案件线索 1 万多件 。 这些 案件 的 查处 和 曝光 ， 表明 了 中国政府 反腐败 的 勇气 和 决心 ， 增强 了 社会公众 反腐败 的 信心 。 四是 注重 加强 绩效 审计 ， 推动 政府部门 提高 管理水平 和 行政 效能 。 通过 绩效 审计 ， 一方面 监督 和 评价 纳税人 的 钱 花 得 对 不 对 、 值不值 、 好不好 ， 促进 政府 提高 科学决策 能力 ； 另一方面 发现 和 查找 体制 、 机制 和 管理 中 的 薄弱环节 ， 促进 政府 提高 管理水平 。 五是 注重 整改 和 制度 建设 ， 推动 政府部门 健全 管理制度 、 深化 体制改革 。 中国 审计 机关 始终 注重 揭示 违规 问题 所 反映 出 的 制度 缺陷 和 管理 漏洞 ， 提出 标本兼治 的 审计 建议 ； 始终 把 督促 被 审计 单位 整改 作为 重要职责 ， 贯穿 审计工作 始终 。 六是 稳步 推进 审计 结果 公告 ， 促进 政府部门 管理 行为 的 公开 透明 。 2002 年 至今 ， 全国 审计 机关 共向 社会 公告 审计 结果 6000 多篇 ， 有效 加强 了 社会 和 舆论监督 ， 推动 政府部门 和 工作人员 提高 了 依法行政 的 自觉性 和 主动性 ， 以及 依法行政 能力 和 水平 。 
 时政 	 我国 将 建立 乳制品 原材料 进厂 检验 制 新华网 北京 9 月 25 日电 ( 记者   徐博 、 蒋旭峰 ) 国家 质检 总局 25 日 发出 《 关于 监督 乳制品 生产 企业 落实 质量 安全 责任 的 意见 》 ， 要求 各地 质检 部门 建立 原材料 和 半成品 进厂 检验 制度 ， 监督 企业 严把 进厂 关 ， 所有 原材料 和 半成品 进厂 时 ， 必须 有 供应方 提供 的 产品检验 报告 或者 验收 检验 报告 ， 确保 不 合格 的 原材料 不 进厂 。 意见 要求 ， 各地 质检 部门 要 监督 企业 建立 原材料 、 半成品 进厂 台账 ， 谁 检验 、 谁 验收 、 谁 负责 、 检验 时间 、 批次 等 要 有 原始记录 。 原始记录 不可 更改 、 长期 保存 ， 确保 产品质量 可追溯 到 源头 和 具体 责任人 。 此外 ， 各地 质检 部门 要 建立 生产 过程 质量 责任 制度 ， 监督 企业 按照 乳制品 生产 企业 的 生产 许可 要求 ， 对 生产 加工 的 每 一个 环节 和 环境 、 人员 等 进行 全面 检查 ， 确保 符合规定 ； 对 生产 过程 、 关键 工序 、 质量 控制点 、 生产 过程 检验 等 做出 详实 记录 ； 对 按照 有关 标准 允许 使用 的 产品 配方 、 原辅料 和 添加剂 等 建立 购买 、 使用 台账 。 各地 质检 部门 还要 建立 出厂 产品检验 制度 ， 严格监督 企业 对 每 一 批次 出厂 产品 都 进行 检验 ， 并 建立 记录 台账 ， 严把 产品 出厂 关 。 对 没有 检验 报告 或经 检验 不 合格 的 产品 一律 不得 出厂 。 意见 要求 各地 质检 部门 建立 检验 检测 制度 ， 监督 有 条件 的 企业 ， 配置 能够 检测 三聚氰胺 的 设备 ， 配备 专业 人员 ； 监督 没有 检测 设备 和 能力 的 企业 ， 与 有 能力 的 检测 机构 建立 固定 的 检测 三聚氰胺 的 委托 关系 。 意见 强调 ， 各级 质检 部门 要 通过 加强 服务 和 监督 ， 监督 企业 将 产品质量 责任 落到实处 ， 特别 是 把 好 原材料 进厂 和 产品 出厂 两道 关口 ， 保证 产品质量 和 安全 。         质检 总局 ： 进口 预 包装 乳制品 未 检出 三聚氰胺 
 时政 	 据称 姚中民 被 提名 国开行 监事长 知情 人士 透露 ， 国家开发银行 副行长 姚中民 已 被 提名 为 该行 监事长 ， 不再 担任 副行长 职务 。 原 监事会 主席 朱元 ? 因 年龄 原因 不再 担任 此职 。 姚中民 1994 年 1 月 调任 国开行 副行长 并 兼任 纪检组 组长 一职 ， 全面 参与 了 国开行 的 筹建 和 此后 的 各项改革 。 1998 年 6 月 至今 任 国家开发银行 党委 副 书记 、 副行长 ， 主管 业务 开发 、 项目 评审 等 方面 的 工作 ， 并任 贷款 管理 委员会 主任 10 年 之久 。 在 国开行 内部 员工 看来 ， 姚中民 业务水平 高 、 管理 能力 强 ， 善于 把握 和 平衡 大局 ， “ 开行 能 有 今天 他 功不可没 ” 。 依据 《 公司法 》 规定 ， 监事会 成员 不少 于 3 人 。 监事会 主席 由 全体 监事 过半数 选举 产生 。 董事 、 高级 管理人员 不得 兼任 监事 。 监事会 成员 包括 股东 代表 和 适当 比例 的 公司 职工代表 ， 其中 职工代表 的 比例 不得 低于 三分之一 。 此前 ， 国开行 监事会 主席 之职 由 国务院 按照 《 国有 重点 金融机构 监事会 暂行条例 》 任命 。 按此 规定 ， 监事会 主席 由 副部级 国家 工作人员 担任 ， 为 专职 ， 年龄 一般 在 60 周岁 以下 。 而 监事会 成员 包括 从 有关 部门 和 单位 选任 的 专职 监事 和 由 财政部 、 人民银行 、 证监会 、 保监会 等 代表 担任 的 兼职 监事 。 
 时政 	 新 台胞证 今起 签发   每人 一号 终生 不变 中新网 9 月 25 日电   “ 一人 一号 、 终生 不变 ” 的 “ 台胞证 ” 25 日起 签发 ， 彻底 废除 此前 “ 五年 一变 ” 的 旧证 。 这种 革命性 的 变化 将 为 逾 百万 在 大陆 台胞 的 生活 提供 极大 便利 ， 因而 新一代 台胞证 也 被 广大 台商 称为 台胞 的 “ 大陆 居民身份证 ” 。 据 香港 大公报 报道 ， 据 福建省 公安厅 出入境 管理处 沈幸平 介绍 ， 新一代 台胞证 将 与 大陆 居民身份证 类似 ， 一人 一号 且 终生 不变 。 新 的 编码 保留 台胞 终身 号 的 八位 阿拉伯数字 ， 而 此前 的 台胞证 号码 中易 发生变化 的 签发 次数 、 签发 机关 代码 两个 项目 ， 则 调整 至 证件 数据 页视 读区 右下角 位置 。 沈幸平 同时 表示 ， 台湾 居民 持 现有 的 台胞证 在 有效期 内 仍 可以 继续 使用 。 更替 三 版本   编码 终 统一 按 编码方式 划分 ， 此次 颁发 的 台胞证 已属 第三代 。 第一代 台胞证 于 一九九二年 五月 一日 启用 ， 其 号码 由 台胞 终身 号 、 签发 次数 、 签发 机关 代码 三 部分 组成 ， 证件号码 前 八位 阿拉伯数字 为 台胞 终身 号 ， 后 两位 为 签发 证件 的 次数 ， 后面 加 括号 的 则 为 签发 机关 代码 ， 港澳 使用 英文字母 ， 而 大陆 则 是 阿拉伯数字 。 到 了 二 ○ ○ 六年 六月 ， 福建 、 江苏 和 上海 三地 的 公安机关 出入境 管理 部门 签发 的 五年 有效 台胞证 ， 调整 了 号码 编制 方法 ， 保留 台胞 终身 号 和 签发 次数 项目 ， 取消 了 括号 及 签发 机关 代码 ， 推出 了 第二代 台胞证 。 不过 ， 港澳 的 办证 单位 未作 调整 。 沈幸平 认为 ， 此次 改革 其实 也 实现 了 台胞证 编码方式 的 统一 。 完善 机读 区   通关 更 便捷 记者 在 福建省 公安厅 台胞证 制作 中心 见到 了 新一代 台胞证 ， 其 外观 依然 是 土 黄绿色 的 封皮 、 烫金 的 徽章 图样 ， 内页 也 无大 的 修改 ， 除 号码 标注 的 改变 外 ， 就是 每页 末端 都 有 一个 全新 的 “ 机读 区 ” ， 上面 贴 有 字符 编码 和 一张 小 照片 。 制作 中心 的 负责人 告诉 记者 ， 其实 第二代 台胞证 就 已有 “ 机读 区 ” ， 不过 现在 对 “ 机读 区 ” 的 功能 做 了 提升 ， 台胞 通关 时 只要 刷 一下 台胞证 ， 计算机 上 就 能 显示 非常 全面 的 信息 ， 非常 便捷 。 此外 ， 新一代 台胞证 的 “ 机读 区 ” 还有 防伪 功用 。 台商 ： 终生 一号 避免 麻烦 泉州市 台商 协会 办公室 主任 扬子 伟 表示 ， 实行 台胞证 号码 “ 一人 一号 ， 终生 不变 ” 后 ， 台胞证 其实 就 和 大陆 居民身份证 基本 一样 了 ， 这 对 长期 生活 在 大陆 的 台商 来讲 极具 革命性 意义 ， 能为 台胞 免去 很多 不必要 的 麻烦 。 扬子 伟 介绍 说 ， 此前 ， 号码 随 台胞证 五年 一换 ， 致使 许多 台胞 到 银行 办理 业务 填写 资料 时 ， 时常 遇到 前后 两次 的 号码 不 一致 的 情况 ， 有时 还 不得不 到 总行 或 开户银行 办理 更换 手续 ， 有 的 还 需要 公安机关 出具 证明 。 如今 ， 台胞证 改成 “ 终生 一号 ” ， 今后 在 大陆 的 台商 就 不用 再 吃 这种 苦 了 。 ( 邢小敏 、 罗施贤 ) 
 时政 	 温家宝 会见 巴基斯坦 新任 总统 扎尔 达 里 ( 图 ) 中新社 纽约 九月 二十四日 电   ( 记者   张朔 ) 中国 总理 温家宝 二十四日 在 纽约 会见 巴基斯坦 新任 总统 扎尔 达 里 。 他 表示 ， 巩固 和 发展 同 巴基斯坦 的 战略 合作 关系 是 中国政府 坚定不移 的 政策 。 温家宝 首先 祝贺 他 就任 巴基斯坦 总统 ， 祝愿 巴基斯坦 在 实现 国家 稳定 和 经济社会 发展 方面 取得 新 的 成就 。 温家宝 说 ， 中巴 全天候 友谊 和 全方位 合作 有着 坚实基础 ， 经得起 任何 时局 变化 的 考验 。 巩固 和 发展 同 巴基斯坦 的 战略 合作 关系 是 中国政府 坚定不移 的 政策 。 中方 愿 与 巴方 保持 高层 交往 ， 加强 各 领域 互利 合作 ， 密切 在 多边 领域 的 沟通 与 配合 ， 携手 促进 地区 和平 、 稳定 与 发展 。 扎尔 达 里 表示 ， 巴中 友谊 深深 植根于 巴基斯坦 人民 心中 。 他 将 继承 巴中 传统友谊 ， 积极 致力于 推动 两 国 友好合作 关系 不断 向前 发展 。 
 时政 	 温家宝 在 纽约 会见 印度 等 多国 领导人 新华网 纽约 9 月 24 日电 （ 记者   李诗佳   王建刚   曾虎 ） 国务院 总理 温家宝 当地 时间 24 日 在 纽约 分别 会见 了 黎巴嫩 总统 苏莱曼 、 哥伦比亚 总统 乌里韦 、 印度 总理 辛格 、 西班牙 首相 萨 帕特罗 、 巴基斯坦 总统 扎尔 达里 和 英国首相 布朗 。 在 会见 苏莱曼 时 ， 温家宝 说 ， 中方 支持 黎巴嫩 捍卫 主权 与 领土完整 、 促进 国内 和解 、 发展 睦邻关系 的 努力 ， 将 继续 提供 力所能及 的 经济援助 。 我们 愿 与 黎方 加强 高层 往来 ， 开展 多种形式 的 友好 交流 与 合作 ， 增进 两国人民 的 相互了解 和 友谊 。 中方 将 同 国际 社会 一道 ， 为 在 中东地区 实现 公正 、 合理 的 和平 继续 作出 积极 努力 。 苏莱曼 表示 ， 黎巴嫩 感谢 中方 积极参与 联合国 在 黎 南部 维和 及 扫雷 行动 ， 感谢 中方 支持 恢复 阿拉伯 国家 合法权益 的 努力 。 黎方愿 加强 同 中国 的 友好关系 ， 希望 同 中国 在 经贸 、 旅游 等 领域 开展 新 的 合作 。 黎 致力于 同 邻国 改善 关系 ， 促进 中东 和平 进程 。 希望 在 国际 社会 帮助 下 ， 妥善解决 巴勒斯坦 难民 重返 和 安置 问题 。 在 会见 乌里韦 时 ， 温家宝 表示 ， 当前 中哥 关系 发展势头 良好 ， 哥伦比亚 是 中国 在 拉美地区 的 重要 伙伴 。 中方 愿 在 平等互利 的 基础 上 ， 扩大 同 哥伦比亚 的 经贸合作 ， 丰富 人文 和 社会 领域 的 交流 ， 密切 在 国际事务 中 的 协作 ， 希望 哥伦比亚 为 促进 中国 同 拉美国家 的 友好关系 发展 继续 发挥 积极 作用 。 乌里韦 表示 ， 哥伦比亚 重视 发展 对华关系 ， 感谢 中方 在 国际 和 地区 事务 中 给予 的 支持 ， 哥方 希望 同 中方 加强 经贸 、 投资 等 领域 合作 。 在 会见 辛格 时 ， 温家宝 说 ， 中印 是 两个 发展 中 大国 ， 中 印 携手 ， 共同 发展 ， 将 对 世界 产生 重大 而 深远 的 影响 。 当前 ， 世界 形势 复杂多变 ， 世界 金融市场 剧烈 动荡 。 中 印 两个 发展 中 大国 加强 协调 ， 共同 应对 ， 符合 两 国 利益 ， 对 维护 世界 和 地区 的 和平 与 稳定 非常 重要 。 中方 愿 与 印方 一道 ， 继续 本着 互相 尊重 、 平等 协商 的 精神 ， 加强 交流 与 合作 ， 妥善处理 边界 等 彼此 关切 的 问题 ， 推动 中印关系 顺利 发展 。 辛格 说 ， 印中 不是 竞争对手 ， 而是 战略 合作伙伴 。 发展 同 中国 友好 而 紧密 的 合作 关系 是 印度 外交 的 优先 方向 。 印方 致力于 推进 两国 在 双边 各 领域 的 合作 ， 并 加强 在 国际贸易 、 能源安全 、 气候变化 等 多边 领域 的 沟通 协作 。 辛格 表示 ， 达成 一个 双方 均 能 接受 的 印中 边界问题 解决方案 是 印方 的 政治 意愿 ， 希望 双方 加快 谈判 进程 。 辛格 感谢 中方 对 印度 和平利用 核能 持 积极态度 ， 表示 印方 愿 在 此 方面 同 中方 开展 合作 。 温家宝 在 会见 萨 帕特罗 时 表示 ， 近年来 中西 全面 战略伙伴 关系 取得 丰硕成果 ， 给 双方 带来 了 实实在在 的 利益 。 中方 愿 与 西班牙 加强 相互 投资 、 联合 科技 研发 和 文化交流 ， 密切 在 中欧 框架 内 和 联合国 等 重要 国际 组织 中 的 协调 与 配合 ， 共同 促进 不同 文明 之间 的 对话 、 理解 与 合作 。 萨 帕特罗 表示 ， 西班牙 希望 巩固 和 加强 两 国 业已 存在 的 友好合作 关系 ， 愿 进一步 扩大 双边贸易 ， 促进 两 国 企业 交流 ， 加强 投资 、 电信 等 领域 合作 。 西班牙 愿 继续 为 促进 欧中 关系 发展 而 努力 。 温家宝 在 会见 扎尔 达里 时 ， 首先 祝贺 他 就任 巴基斯坦 总统 ， 祝愿 巴基斯坦 在 实现 国家 稳定 和 经济社会 发展 方面 取得 新 的 成就 。 温家宝 说 ， 中巴 全天候 友谊 和 全方位 合作 有着 坚实基础 ， 经得起 任何 时局 变化 的 考验 ， 巩固 和 发展 同 巴基斯坦 的 战略 合作伙伴 关系 是 中国政府 坚定不移 的 政策 。 我们 愿 与 巴方 保持 高层 交往 ， 加强 各 领域 互利 合作 ， 密切 在 多边 领域 的 沟通 与 配合 ， 携手 促进 地区 和平 、 稳定 与 发展 。 扎尔 达 里 表示 ， 巴中 友谊 深深 植根于 巴基斯坦 人民 心中 。 我 将 继承 巴中 传统友谊 ， 积极 致力于 推动 两 国 友好合作 关系 不断 向前 发展 。 温家宝 在 会见 布朗 时 ， 着重 介绍 了 中国 对 非洲 援助 的 政策 和 措施 。 温家宝 指出 ， 没有 非洲 的 和平 与 发展 ， 就 无法 实现 联合国 千年 发展 目标 ， 更 谈不上 世界 的 和平 与 发展 。 中国 高度重视 非洲 的 发展 问题 ， 尽己 所能 帮助 非洲 国家 提高 自主 发展 能力 ， 充分 尊重 非洲 国家 的 意愿 ， 从不 附加 任何 政治 条件 。 发达国家 应该 全面落实 对非 援助 承诺 ， 为 促进 非洲 发展 多做实事 。 温家宝 表示 ， 非洲 的 发展 道路 必须 由 非洲 人民 自主 选择 ， 中国 愿 与 各方 加强 交流 和 协调 ， 为 推动 非洲 的 发展 ， 实现 共同进步 和 繁荣 继续 作出 积极 努力 。 布朗 表示 ， 中国 的 扶贫 事业 取得 了 举世瞩目 的 成就 。 中国 还 积极支持 和 帮助 其他 国家 同 贫困 、 疾病 、 文盲 作 斗争 ， 英方 对此 予以 高度 赞赏 。 英方 希望 国际 社会 共同努力 ， 推动 实现 千年 发展 目标 方面 取得 更大 进展 。 英方 愿 在 此 方面 同 中方 加强 合作 。 双方 还 就 当前 国际 经济 金融 形势 交换 了 看法 。 
 时政 	 温家宝 ： 中国 不 屈服于 任何 势力 中新网 9 月 25 日电   中国 总理 温家宝 于 纽约 当地 时间 9 月 24 日 在 第 63 届 联合国大会 一般性 辩论 上 发言 时 表示 ， 在 国际事务 中 ， 中国 依照 事情 本身 的 是非曲直 独立 作出 判断 ， 根据 国家 利益 和 世界 人民 的 福祉 决定 自己 的 立场 ， 不 盲从 ， 不 屈服于 任何 势力 。 他 在发言中 具体 说 ， 中国 愿意 在 平等互利 基础 上 ， 同 所有 国家 发展 友好关系 ， 不 以 意识形态 和 社会制度 定 亲疏 。 在 国际事务 中 ， 我们 依照 事情 本身 的 是非曲直 独立 作出 判断 ， 根据 国家 利益 和 世界 人民 的 福祉 决定 自己 的 立场 ， 不 盲从 ， 不 屈服于 任何 势力 。 在 国际 关系 中 ， 中国 不结盟 ， 更 不 当头 ， 而且 永远 不结盟 、 不 当头 。   温家宝 表示 ， 和平解决 国际争端 是 联合国 的 宗旨 ， 也 是 国际法 的 基本 原则 。 中国 坚持 以 对话 和 协商 的 方式 处理 与 其它 国家 的 历史 遗留问题 和 现实 分歧 。 同时 ， 作为 联合国 安理会常任理事国 ， 中国 将 一如既往 地为 推动 和平解决 国际 热点问题 和 地区冲突 发挥 积极 的 建设性 作用 。 温家宝 总理 还 强调 ， 中国 的 发展 是 和平 的 发展 ， 不会 损害 任何人 ， 也 不会 威胁 任何人 。 中国 现在 不 称霸 ， 将来 也 绝不 称霸 。 中国 保持 和 发展 适当 的 军事力量 ， 完全 是 为了 维护 国家主权 和 领土完整 。 当代 中华民族 的 自信 和 荣光 是 建立 在 经济 发展 、 社会 公正 、 国民素质 和 道德 力量 的 基础 之上 的 。 中国 将 以 自身 的 发展 促进 世界 的 和平 与 发展 。         相关 新闻 ：         温家宝 ： 奥运 后 中国 将 坚持 改革开放 不 动摇         温家宝 ： 各国 应 通力合作 应对 国际金融 动荡         温家宝 ： 中国 坚决 捍卫 国家主权 和 领土完整         温家宝 ： 中国 实现 现代化 任务 还 很 繁重 
 时政 	 温家宝 ： 中国 坚决 捍卫 国家主权 和 领土完整 中新网 9 月 25 日电   中国 总理 温家宝 于 纽约 当地 时间 9 月 24 日 在 第 63 届 联合国大会 一般性 辩论 上 发言 时 表示 ， 中国 坚决 捍卫 来之不易 的 国家主权 和 领土完整 ， 决不允许 任何 外来干涉 。 同时 ， 中国 坚持 平等 相待 ， 尊重 别国 的 主权 和 领土完整 ， 尊重 各国 人民 自主 选择 的 社会制度 和 发展 道路 。 温家宝 称 ， 尊重 主权 和 互不干涉 内政 是 国与国 之间 发展 关系 的 前提 。 近代 屈辱 的 历史 使 中国 人民 懂得 ， 一个 国家 丧失 主权 ， 人民 就 没有 尊严 和 地位 。 中国 坚决 捍卫 来之不易 的 国家主权 和 领土完整 ， 决不允许 任何 外来干涉 。 同时 ， 中国 坚持 平等 相待 ， 尊重 别国 的 主权 和 领土完整 ， 尊重 各国 人民 自主 选择 的 社会制度 和 发展 道路 。   他 还 表示 ， 世界 需要 和平 ， 和平 才能 发展 。 中国 要 实现 自己 的 发展 目标 ， 渴望 有 一个 和平 的 国际 环境 。 中国政府 坚定不移 地 奉行 独立自主 的 和平 外交政策 ， 愿同 各国 加强 合作 ， 共同 促进 人类 和平 与 发展 的 崇高 事业 。   此外 ， 他 还 说 ， 中国 保持 和 发展 适当 的 军事力量 ， 完全 是 为了 维护 国家主权 和 领土完整 。         相关 新闻 ：         温家宝 ： 奥运 后 中国 将 坚持 改革开放 不 动摇         温家宝 ： 各国 应 通力合作 应对 国际金融 动荡         温家宝 ： 中国 不 屈服于 任何 势力         温家宝 ： 中国 实现 现代化 任务 还 很 繁重         温家宝 晤 美 经济界 人士 ： 勇气 和 信心 比 黄金 更 重要 
 时政 	 温家宝 ： 各国 应 通力合作 应对 国际金融 动荡 中新网 9 月 25 日电   中国 总理 温家宝 于 纽约 当地 时间 9 月 24 日 在 第 63 届 联合国大会 一般性 辩论 上 发言 时 表示 ， 当前 国际金融 动荡 ， 已经 波及 许多 国家 ， 影响 还会 加剧 ， 各国 应当 通力合作 ， 迎接挑战 。 温家宝 说 ， 在 人类 漫长 的 发展史 上 ， 世界 各国 的 命运 从未 像 今天 这样 紧密 相连 ， 休戚与共 。 面对 气候 变暖 、 环境 恶化 、 资源 紧缺 、 疫病 和 自然灾害 频发 、 恐怖主义 蔓延 等 一系列 威胁 人类 生存 和 发展 的 全球性 问题 ， 面对 当前 金融 、 能源 、 粮食 三大 难题 交织 爆发 的 严峻 局面 ， 任何 一个 国家 都 无法 置身 其 外 ， 也 难以 单独 应对 。 他 特别强调 ， 当前 国际金融 动荡 ， 已经 波及 许多 国家 ， 影响 还会 加剧 ， 各国 应当 通力合作 ， 迎接挑战 。 
