科技 	 全高清 双 存储 设计   JVC   HM200 套装 4350 元         作者 ： 李金昊         [ 北京 行情 ]   JVC   HM200 是 全球 第一款 支持 双 SDHC 存储卡 扩展 能力 的 民用 级 闪存式 高清 数码 摄像机 。 它 支持 同时 安装 两张 SDHC 存储卡 ， 当 使用 的 SDHC 卡 的 容量 全部 达到 32GB 时 ， 最高 可以 记录 30 小时 的 FullHD 视频 影像 。 笔者 今天 在 市面上 了解 到 ， 此款 机型 现在 的 最新 报价 为 4350 元 ， 随 产品 搭配 原装 包 、 UV 镜 、 清洁 套装 、 LCD 贴膜 。         JVC   HM200 可以 同时 安装 两张 SDHC 存储卡 ， 在 拍摄 时 如果 第一张 SDHC 卡 的 容量 已满 ， 则 视频 资料 将 自动 开始 在 第二张 SDHC 卡上 进行 记录 。 性能 方面 ， GZ - HM200 还 支持 适合 YouTube 视频 的 格式 ， 可以 方便 的 通过 iTunes 传输 视频 。 GZ - HM200 配置 了 JVC 最新 开发 的 20 倍 光学 变焦镜头 ， 具有 1 秒 快速 启动 、 便捷 检索 以及 面部 优化 功能 。 GZ - HM200 的 编码 芯片 也 经过 重新 优化 ， 码率 可达 AVCHD 最高 标准 的 24Mbps ， 耗电量 仅为 过去 产品 的 50% 。         编辑 观点 ：         JVC   HM200 是 一款 拥有 双卡槽 的 全高清 数码 摄像机 ， 成像 效果 出色 。 机身 采用 闪存 存储 小巧 轻便 ， 不仅 更加 省 电 ， 还 可以 适应 高原 等 严酷 的 环境 。 现在 此款 机型 刚刚 上市 ， 不 着急 的 消费者 可以 持币观望 一阵 。         JVC   GZ - HM200         [ 参考价格 ]   4350 元 套装 
 科技 	 全高清 旗舰 长焦   佳能 SX1   IS 售价 4266 元         佳能 SX1IS 在 外观设计 上 具有 十足 的 专业 味道 ， 做工 细致 ， 配备 2.8 英寸 高清 屏幕 更显 大气 ， 经典 的 旋转 屏 设计 ， 令 取景 更加 方便 。 性能 上 ， 该机 采用 了 1 / 2.3 英寸 1000 万 像素 的 CMOS ， 支持 20 倍 超长 光学 变焦 ， 焦段 覆盖 28 - 560mm （ 相当于 35mm 胶片 机 ） ， 具有 0cm 的 超级 微距拍摄 能力 ， 镜头 性能 十分 强悍 。 同时 配备 佳能 最新 的 DIGIC   4 处理器 ， 快门速度 为 15 - 1 / 3200 秒 ， 支持 全手动 操作 功能 ， 还 增加 了 iSAPS 智能 场景 分析 功能 ， 值得一提的是 佳能 SX1   IS 还 支持 1080 的 全高清 录像 ， 整体 性能 十分 强大 ， 具体 参数 见 下表 ：         编辑 点评 ： SX1IS 作为 佳能 旗舰 长焦 ， 其 配置 可谓 独领风骚 ， 采用 了 1000 万 像素 专业 CMOS 感光 元件 ， 20 倍 超长 光学 变焦镜头 ， 2.8 英寸 可 旋转 高清 屏幕 ， 此外 ， SX1IS 也 是 唯一 支持 1080P 全高清 录像 的 DC ， 使得 它 倍受 关注 ， 不过 它 的 价格 几乎 是 一台 入门 单反 的 价格 了 ， 不过 DC 的 优势 就是 灵活机动 ， 镜头 覆盖 广角 长焦 ， 不论 拍摄 什么 题材 都 很 方便 。 而且 超级 微距 效果 比 普通 单反 镜头 微距 镜头 效果 好 。         参考价格   4266 元 
 科技 	 最 便宜 的 MID   酷比 魔方 B53WIFI   8GB   799 元酷 比 B53WIFI 是 酷 比前 一段时间 推出 的 具有 上网 娱乐 功能 的 随身 音视频 产品 ， 目前 这 款 产品 已经 上市 售价 仅为 8GB   799 元 ， 其 将 会 成为 最 超值 的 MID 类 播放器 。 酷比 全新 的 视频 订阅 推送 系统 ， 让 您 在 WIFI 区域 ， 立刻 获得 主 服务器 传来 的 您 喜爱 的 最新 视频文件 ， 同时 还 可以 象 国外 旗舰 产品 一样 看 热门 节目 / 短片 / 连续剧 / 动漫 等 ， 另外 全新 加入 的 数以百计 网络 电视 / 电台 丰富 了 视听 体验 ， 实际 下载速度 超 500K / S ， 利用 VideoBrowserTM 百万 级 影音 搜索引擎 / 多任务 下载 。 酷比 B53WIFI 基于 LINUX 采用 4.3 英寸 全屏 触摸 屏幕 ， 兼容 RMVB 、 RM 、 AVI 、 FLV 、 DAT 、 MP4 、 WMV 多种 格式 ， 通过 wifi 链接 和 WEB 浏览器 可 直接 浏览 互联网 。 
 科技 	 水货 不 得意   COWON   S9 三百元 激爽 “ 降温 ” 来自 iAUDIO 旗下 的 COWON   S9 与 苹果 iPod   touch 的 售价 相当 ， 但 与 touch 相比 该机 在 音质 、 续航 等 方面 具有 非常明显 的 优势 。 近期 该机 的 市场 售价 进行 了 大幅 调整 ， 8GB / 16GB 产品 的 售价 分别 下调 了 300 元 ， 现为 1590 元 / 1890 元 。 有 兴趣 的 朋友 可以 到种 中关村 鼎好 电子城 地下 一层 北区 B1153 # 购买 ， 咨询电话 ： 010 - 82697620 。 COWON   S9 容量 ： 8GB / 16GB   报价 ： 1590 元 / 1890 元 编辑 点评 ： COWON   S9 采用 了 3.3 英寸 1600 万色 AMOLED 屏幕 ， 该 屏幕 属 电容 性 触控板 ， 具有 自 发光 特点 无需 背光 片 ， 使 显示 色彩 饱和度 达到 了 10000 ： 1 。 S9 还 搭载 了 重力 感应 系统 、 DIY 个性 设置 等 功能 。 COWON   S9 采用 了 全球 最新 的 音响 级 声效 调节 技术 BBE + ， 升级 之后 的 BBE ， BBE + 与 Mach3Bass 、 3D   Surround 、 MP   Enhance 等 音效 搭配 并 通过 JetEffect   2.0 音效 调节 软件 为 S9 提供 了 更 自然 、 优秀 的 音质 ， 让 用户 享用 专业 录音棚 设备 或 发烧音响 带来 的 震撼 感 唾手可得 。 自动 过滤 乐曲 瑕疵 、 修补 丢失 的 音频 信号 。 COWON   S9 [ 参考 报价 ]   8GB / 16GB   1590 元 / 1890 元 [ 销售 地址 ]   中关村 鼎好 电子城 地下 一层 北区 B1153 # [ 咨询电话 ]   010 - 82697620 
 科技 	 消费类 旗舰 机型   佳能 G10 送礼 售价 3700 元         作者 ： 李金昊         佳能 G10 采用 了 高达 1470 万 有效 像素 的 CCD ， 配合 全新 的 DIGIC   4 影像 处理器 。 带来 了 良好 的 画质 表现 和 超快 的 机身 反应速度 。 佳能 G10 的 5 倍 光变 镜头 变焦 范围 为 28mm — 140mm ， 焦距 段 涵盖 了 从 广角 到 中长 焦 ， 值得一提的是 ， 新 产品 在 镜头 中 加入 了 摄影 爱好者 期待已久 的 28 毫米 广角 ， 带来 全新 的 拍摄 视角 和 不同 以往 的 新鲜 构图 。 同时 ， 新 产品 优化 了 镜头 镀膜 ， 有效 防止 在 使用   28 毫米 广角 时 容易 在 画面 边缘 出现 的 鬼影 现象 。 而且 ， 相机 还 内置 了 IS 光学 防抖 功能 ， 可 帮助 摄影师 提升 4 档 “ 安全 快门速度 ” 。         佳能 G10 仍然 采用 了 3.0 英寸 “ 晶炫 II ” LCD 显示屏 的 设计 ， 而 液晶屏 像素 从 G9 的 约 23 万 像素 增加 到 PowerShot   G10 的 约 46.1 万 像素 。 垂直 点数 增加 了 一倍 ， 因此 当 拍摄 有 垂直线 或 圆形 的 主体 时 ， 会 显得 更加 清晰 ， 另外 暗部 层次 的 显示 也 得到 明显 改进 。         在 可扩展性 方面 ， 作为 PowerShot   系列 机型 中 面对 高级 摄影 用户 的 旗舰 产品 ， PowerShot   G10 可以 连接 多种 专业 附件 ， 实现 摄影师 和 摄影 发烧友 们 的 拍摄 创作 意图 。 Speedlite 系列 闪光灯 可以 直接 连接 在 PowerShot   G10 的 顶部 热靴 上 进行 闪光 摄影 ， 如果 摄影师 需要 进行 多灯位 拍摄 ， 还 可以 使用 ST - E2 闪光灯 信号 发射器 。 随着 与 EOS 数码 单反相机 系列 相同 的 附属 配件 日益 增多 ， 它 的 可扩展性 将 大大 增强 。         编辑 观点 ：         佳能 G10 拥有 目前 消费类 数码相机 中 的 顶级 配置 ， 对应 高端 消费 人群 。 如果 您 对 相机 的 性能 有 较 高 的 要求 ， 同时 又 对 体积 庞大 的 单反相机 并 不 感冒 ， 那么 G10 无疑 是 一个 合适 的 选择 。 不过 坚挺 的 高 售价 ， 也 让 很多 消费者 望而却步 ， 希望 佳能 能 及时 调整 一下 价格 。         佳能   G10         [ 参考价格 ]   3700 元 送 4GB 卡 、 相机包 
 科技 	 瑞芯微 助阵   4GB 蓝魔 T12 到货 售价 499 元 蓝 魔 T12 搭载 了 5 英寸 超大 显示屏 ， 屏幕 分辨率 为 800 × 480 ， 显示 效果 优秀 。 今天 该机 4GB 容量 的 产品 到货 市场 ， 上市 售价 为 499 元 。 该机 支持 AVI 、 RM / RMVB 、 MKV 等 视频格式 ， 具有 TV - OUT 电视 输出 功能 。 有 兴趣 的 朋友 可以 到 中关村 鼎好 电子城 4378 # 购买 ， 咨询电话 ： 010 - 82696649 。 相关 阅读 ： H.264 解码 支持 MKV 高清   蓝魔 T12 视频 评测 TNT5 高清 终结者   蓝 魔音 悦汇 T12 极酷 图赏 蓝 魔 T12 容量 ： 4GB   报价 ： 499 元 编辑 点评 ： 蓝 魔音 悦汇 T12 的 外壳 采用 了 工程塑料 ， 搭载 了 5 英寸 显示屏 ， T12 的 机身 顶部 是 开机 按键 ， 其余 的 按键 分布 在 机身 一侧 ， 其中 可 转动 的 方向 操作 键 使 选择 更加 方便 ， 同时 转动 按键 还 兼具 确认 功能 。 T12 的 操作界面 与 前作 T9 有 异曲同工 之 处 。 蓝魔 T12 [ 参考 报价 ]   4GB / 499 元 [ 销售 地址 ]   中关村 鼎好 电子城 4378 # [ 咨询电话 ]   010 - 82696649   13911257537 
 科技 	 蓝魔 高清 力作 T10   4GB 版 上市 普及 H.264 在 高清 MP4 普及 的 道路 上 ， 与 其它 国内 品牌 不同 ， 蓝魔 选择 了 高性能 、 高价位 的 普及 之 路 。 虽然 走 起来 多有 坎坷 ， 但 最终 还是 为 消费者 带来 了 真正 的 高清 享受 。 为了 让 更 多 不同 层次 的 消费者 受益 ， 近期 蓝魔 推出 了 4GB   T12 ， 售价 为 499 元 。 今天 蓝魔 又 推出 了 采用 1600 万色 LED 屏幕 、 美国 TI 达芬奇 主控 的 经典 产品 T10   4GB 版本 ， 上市 售价 为 599 元 。 蓝魔   T10 采用 了 TI 的 达芬奇 技术 ( DaVinci ) 解决方案 ， 可 支持 RM / RMVB 、 MKV 、 DAT 、 MPG 、 VOB 、 AVI 、 TS 、 MP4 、 FLV 、 WMV 十种 视频文件 ， 同时 可 支持 H.264 编码 的 高清 视频文件 。 蓝魔 T10 在 音频 方面 的 表现 同样 可圈可点 ， 支持 MP3 、 WMA 、 WAV 、 AC3 、 AAC 以及 OGG 、 FLAC 、 APE 无损 音频文件 ， 可 收看 JPEG 、 BMP 、 GIF 、 GIF 图片格式 ， 支持 小 画面 预览 、 幻灯片 播放 、 画面 旋转 缩放 等 功能 。 
 科技 	 1200W 像素 入门 DC   三洋 VPC - S1275 仅 1299         参考价格   1299 元 
 科技 	 1470 万 像素 5 X光 变   佳能 G10 带 票价 3999 元         作者 ： 芦晓峰         佳能 G10 采用 了 高达 1470 万 有效 像素 的 CCD ， 配合 全新 的 DIGIC   4 影像 处理器 。 带来 了 良好 的 画质 表现 和 超快 的 机身 反应速度 。 佳能 G10 的 5 倍 光变 镜头 变焦 范围 为 28mm — 140mm ， 焦距 段 涵盖 了 从 广角 到 中长 焦 ， 值得一提的是 ， 新 产品 在 镜头 中 加入 了 摄影 爱好者 期待已久 的 28 毫米 广角 ， 带来 全新 的 拍摄 视角 和 不同 以往 的 新鲜 构图 。 同时 ， 新 产品 优化 了 镜头 镀膜 ， 有效 防止 在 使用   28 毫米 广角 时 容易 在 画面 边缘 出现 的 鬼影 现象 。 而且 ， 相机 还 内置 了 IS 光学 防抖 功能 ， 可 帮助 摄影师 提升 4 档 “ 安全 快门速度 ” 。         在 外观设计 方面 ， PowerShot   G10 延续 了 上 一代 产品 PowerShot   G9 的 风格 ， 坚固 铝质 机身 整体 喷涂 皮革 质感 的 颜色 并 采用 了 金属 质地 转盘 。 G10 和 EOS 采用 同样 材质 的 合成橡胶 手柄 部位 ， 体现 了 美观 易用 的 设计 理念 。         在 可扩展性 方面 ， 作为 PowerShot   系列 机型 中 面对 高级 摄影 用户 的 旗舰 产品 ， PowerShot   G10 可以 连接 多种 专业 附件 ， 实现 摄影师 和 摄影 发烧友 们 的 拍摄 创作 意图 。 Speedlite 系列 闪光灯 可以 直接 连接 在 PowerShot   G10 的 顶部 热靴 上 进行 闪光 摄影 ， 如果 摄影师 需要 进行 多灯位 拍摄 ， 还 可以 使用 ST - E2 闪光灯 信号 发射器 。 随着 与 EOS 数码 单反相机 系列 相同 的 附属 配件 日益 增多 ， 它 的 可扩展性 将 大大 增强 。         编辑 观点 ：         佳能 G10 拥有 消费类 数码相机 中 的 高级 配置 ， 对应 中 高端 消费 人群 。 如果 您 对 相机 的 性能 有 较 高 的 要求 ， 同时 又 对 体积 庞大 的 单反相机 并 不 感冒 ， 那么 G10 无疑 是 一个 合适 的 选择 。         佳能   G10         [ 参考价格 ]   3999 元 （ 带票 ） 
 科技 	 80G 硬盘 高清 DV   索尼 XR100E 降至 5250 元         [ 北京 行情 ]   索尼 HDR - XR100E 是 一款 新 上市 不久 内置 80G 硬盘 并 支持 1920 × 1080i 的 全高清 摄象机 ， 是 索尼 目前 最 便宜 的 一款 全高清 硬盘 DV 。 笔者 从 商家 了解 到 ， XR100E 价格 小幅 下调 ， 目前 价格 为 5250 元 （ 含税 ） 。 并 推出 了 一个 促销 套餐 ， 为 索尼 XR100E + 国产 桑格 FH70 电池 + 包 + 脚架 + UV 保护 镜 + 发票 = 5450 元 。 还是 非常 优惠 的 。         索尼 XR100E 黑色 的 机身 采用 金属 材质 打造 ， 拥有 极佳 的 质感 ， 外观设计 时尚 ， 握持 手感 舒适 ， 而 69 × 68 × 118mm 的 机身 尺寸 ， 仅重 330g 令 XR100E 的 携带 也 非常 方便 。         索尼 XR100E 拥有 首次 应用 于 索尼 数码 DV 的 1 / 5 英寸 236 万 像素 “ Exmor   R ” CMOS 传感器 ， 并 配备 10 倍 光学 变焦 卡尔 . 蔡司 镜头 ， 120 倍 数码 变焦 能力 。 同样 的 电子 防抖 功能 也 必不可少 ， 另外 机身 内置 变焦 麦克风 。         编辑 点评 ： 作为 一款 硬盘 高清 摄像机 ， 索尼 XR100E 拥有 较大 的 容量 ， 可以 满足 长时间 拍摄 的 需要 ， 而 HDD 跌落 保护 功能 ， 则 让 硬盘 摄像机 更加 稳定 。 喜欢 此款 机型 的 用户 可以 详细 的 去 咨询 一下 。         产品型号 ： 索尼 XR100E   ( 5250 元   含税 )         促销 信息 ： 索尼 XR100E + 国产 桑格 FH70 电池 + 包 + 脚架 + UV 保护 镜 + 发票 = 5450 元 
 科技 	 MP3 关注 排名 TOP10 品牌   主力 播放器 推荐 作者 ： 胡振伟 近期 正值 暑促 前夕 ， 各种 MP3MP4 播放器 品牌 也 开始 进入 备战 阶段 。 而 有些 品牌 此时 已经 按捺不住 开始 了 自己 的 降价 行动 。 如今 的 低价 小 屏幕 播放器 产品 已经 杀至 4GB   199 元 ， 而 前半年 正是 火热 的 高清 播放器 产品 也 降至 399 元 的 低价位 。 面对 如此 激烈 的 市场竞争 ， 现在 的 结果 并 不是 那些 降 得 最快 的 品牌 拥有 最高 关注度 ， 而是 那些 产品 有 特点 实用 的 MP3MP4 获得 了 很 高 的 关注 。 今天 我们 介绍 的 是 关注度 排名 TOP10 品牌 的 主推 产品 ， 它们 不 一定 是 正 热 的 高清 型号 ， 但是 肯定 有 其 吸引 人 的 地方 。 TOP   10   艾诺 艾诺   V6000HDV       容量 ： 4GB   报价 ： 399 元 产品 介绍 ： V6000HDV 延续 V6000HD 系列 的 变形金刚 命名 规则 ， 外号 钛 师父 （ Alphatrion ） ， 整体 造型 与 V6000HDA （ 擎天柱 ） 高度 相似 具有 粉红 、 黑 、 白 三种 外壳 颜色 可 选 。 V6000HDV 采用 统宝 4.3 英寸 1600 万色 800 × 480 像素 分辨率 LTPS 高 清屏 。 得益于 索智 SC8600 支持 ， V6000HDV 兼容 MKV （ MP 版本 ） 高清 视频格式 ， 支持 1360 × 768 分辨率 、 RealVideo8 / 9 / 10 视频 编码 的 RM / RMVB 视频 解码 。 并且 兼容 H.264 编码 ( MP 版本 ) ， 1280 × 768 分辨率 内 的 MP4 、 MOV 、 AVI 、 PMP 视频格式 ， H.263 编码 、 1024 × 768 分辨率 内 的 FLV 视频 ， MPEG4 编码 、 1024 × 768 分辨率 内 的 AVI 、 MPG 格式 ， MPEG2 编码 、 1024 × 768 分辨率 内 的 VOB 、 MPG 格式 与 MPEG1 编码 、 1024 × 768 分辨率 内 的 DAT 格式 ， 基本 覆盖 了 高清 、 标清 、 流媒体 等 各类 主流 视频 编码 格式 。 
